Account type,Year,Name
Lobbyist Organisations,2018,1199SEIU
Lobbyist Organisations,2018,1199SEIU
Lobbyist Organisations,2018,1199SEIU
Lobbyist Organisations,2018,"21c, LLC"
Lobbyist Organisations,2018,A10 Associates
Lobbyist,2018,Norman Abbott
Lobbyist,2018,Anthony Arthur Abdelahad (Ventry Associates LLP)
Lobbyist,2018,Brendan Scott Abel
Lobbyist,2018,Trista R Adams
Lobbyist,2018,Lisa C. Adams
Lobbyist Organisations,2018,"ADS Ventures, Inc."
Lobbyist Organisations,2018,Advanced Strategies
Lobbyist,2018,Paul G. Afonso (Brown Rudnick LLP)
Lobbyist,2018,Aaron Judd Agulnek
Lobbyist,2018,Charles Ahern (Murphy Donoghue Partners)
Lobbyist,2018,Shannon Al-Wakeel
Lobbyist,2018,Charles Thomas Alagero
Lobbyist,2018,Allison Alaimo
Lobbyist,2018,Walter Alcorn
Lobbyist,2018,"Theodore J. Aleixo, Jr. (Essential Strategies Inc.)"
Lobbyist,2018,"Kathryn Alexander (Boston Strategic Consulting, LLC)"
Lobbyist,2018,Daniel Allegretti
Lobbyist,2018,Matthew John Allen
Lobbyist,2018,David Allen
Lobbyist,2018,Nancy Leah Allen Scannell
Lobbyist Organisations,2018,Altria Client Services
Lobbyist,2018,Jason A Aluia
Lobbyist,2018,Joseph D. Alviani (Alviani Associates (Joseph D. Alviani dba Alviani Associates))
Lobbyist Organisations,2018,Alviani Associates (Joseph D. Alviani dba Alviani Associates)
Lobbyist,2018,John Anthony Amabile
Lobbyist,2018,Robert J Ambrogi (Law Office of Robert Ambrogi)
Lobbyist,2018,Katrina Anne Anderson (Commonwealth Consulting)
Lobbyist,2018,Christopher R Anderson
Lobbyist,2018,Leda Ann Anderson
Lobbyist,2018,Kathleen Anderson
Lobbyist,2018,Cheri Andes
Lobbyist,2018,Lisa Marie Andoscia (Rosewood Consulting Inc.)
Lobbyist Organisations,2018,Andover Strategic Alliances LLC
Lobbyist,2018,Rafael Antigua
Lobbyist,2018,Frank Anzalotti
Lobbyist,2018,Chelsea Elizabeth Aquino-Fenstermaker
Lobbyist,2018,Cynthia Arcate
Lobbyist,2018,wade brien arends
Lobbyist,2018,Luz A Arevalo
Lobbyist,2018,Derek Armstrong
Lobbyist,2018,Kristina Ragosta Arnoux
Lobbyist,2018,George Atanasov
Lobbyist,2018,"Chester G Atkins (ADS Ventures, Inc.)"
Lobbyist,2018,Chester G Atkins (Tremont Strategies Group)
Lobbyist,2018,Kathryn Audette
Lobbyist,2018,John Augustine
Lobbyist,2018,Karley Ausiello
Lobbyist,2018,"James M. Avery (Pierce Atwood, LLP)"
Lobbyist,2018,Michael Avitzur
Lobbyist,2018,"Steven A. Baddour (ML Strategies, LLC)"
Lobbyist,2018,Andrew C. Bagley
Lobbyist,2018,Julie Ann Balasalle
Lobbyist,2018,Donald Baldini
Lobbyist,2018,Molly Baldwin
Lobbyist,2018,Kim A Barber
Lobbyist,2018,Todd Bard
Lobbyist,2018,Thomas Barnett
Lobbyist,2018,Hugh James Barrett
Lobbyist,2018,Paul Barry
Lobbyist,2018,Katherine Barry
Lobbyist,2018,Robert S. Barry (Robert S. Barry Consulting)
Lobbyist,2018,valerie barsom (barsom associates)
Lobbyist Organisations,2018,barsom associates
Lobbyist,2018,John Bartley (Beacon Hill Consulting Group)
Lobbyist,2018,"David M. Bartley (Golden West Associates, LLC)"
Lobbyist,2018,Mary Elizabeth T Barwick (RAI Services Company)
Lobbyist,2018,Carlo Basile (Smith Costello & Crawford)
Lobbyist,2018,Sarah Ruth Bates
Lobbyist,2018,Jill Batty
Lobbyist,2018,Patricia Baumer
Lobbyist,2018,Phineas Reed Baxandall
Lobbyist Organisations,2018,"Bay State Strategies Group, LLC"
Lobbyist Organisations,2018,"BCB Government Relations, Inc."
Lobbyist Organisations,2018,Beacon Hill Consulting Group
Lobbyist Organisations,2018,Beacon Strategies Group LLC
Lobbyist,2018,Haylee Elizabeth Becker
Lobbyist,2018,Andrew Beckwith
Lobbyist,2018,Geoffrey C Beckwith
Lobbyist,2018,Gregory Francis Beeman
Lobbyist,2018,David Begelfer
Lobbyist,2018,Katheleen Belgard
Lobbyist,2018,"Kathleen R. Bell (BCB Government Relations, Inc.)"
Lobbyist,2018,Chuck Bell
Lobbyist,2018,Jamie Marie Zahlaway Belsito (Effie's Grace LLC)
Lobbyist,2018,Laurene Belsito
Lobbyist,2018,Brian Joseph Belz
Lobbyist,2018,Marylin Bemis
Lobbyist,2018,"Patrick James Bench (Benchmark Strategies, Inc)"
Lobbyist Organisations,2018,"Benchmark Strategies, Inc"
Lobbyist,2018,Matthew Benedetti
Lobbyist,2018,Tom Benjamin
Lobbyist,2018,Daniel Bensonoff
Lobbyist,2018,Ryan Berard
Lobbyist,2018,Harris E Berenson
