Account type,Year,Name
Lobbyist,2016,Jacquelynne J Bowman
Lobbyist Organisations,2016,1199SEIU
Lobbyist Organisations,2016,1199SEIU
Lobbyist Organisations,2016,1199SEIU
Lobbyist Organisations,2016,21c
Lobbyist,2016,Gerald Abban
Lobbyist,2016,Anthony Arthur Abdelahad (Ventry Associates LLP)
Lobbyist,2016,Brendan Scott Abel
Lobbyist,2016,mark adams
Lobbyist,2016,Trista Renee Adams
Lobbyist Organisations,2016,"ADS Ventures, Inc."
Lobbyist Organisations,2016,Advanced Strategies
Lobbyist,2016,Paul G Afonso (Brown Rudnick LLP)
Lobbyist,2016,Aaron Judd Agulnek
Lobbyist,2016,Katie Ahearn
Lobbyist,2016,Thomas Patrick Ahern
Lobbyist,2016,Charlie Ahern (Murphy Donoghue Partners)
Lobbyist,2016,Charles Thomas Alagero
Lobbyist,2016,Allison Alaimo
Lobbyist,2016,Walter Alcorn
Lobbyist,2016,"Kathryn Alexander (Boston Strategic Consulting, LLC)"
Lobbyist,2016,Jonathan Alexandre
Lobbyist,2016,Daniel Allegretti
Lobbyist,2016,Matthew J Allen
Lobbyist,2016,David Allen
Lobbyist,2016,Nancy Leah Allen Scannell
Lobbyist,2016,Craig Scott Altemose
Lobbyist Organisations,2016,Altria Client Services LLC and its Affiliates
Lobbyist,2016,Jason A Aluia
Lobbyist,2016,Joseph D. Alviani
Lobbyist,2016,Robert J Ambrogi (Law Office of Robert J. Ambrogi)
Lobbyist,2016,Megan Amundson
Lobbyist,2016,David I Andelman
Lobbyist,2016,Katrina Anderson (Chisholm Consulting LLC)
Lobbyist,2016,Christopher R. Anderson
Lobbyist,2016,Janet Anderson
Lobbyist,2016,Leda Ann Anderson
Lobbyist,2016,Kathleen R Anderson
Lobbyist,2016,Lisa Marie Andoscia (Rosewood Consulting LLC)
Lobbyist Organisations,2016,Andover Strategic Alliances LLC
Lobbyist,2016,Kevin Andrews
Lobbyist,2016,Esmael Ansari (Rasky Baerlein Strategic Communications)
Lobbyist,2016,Frank J. Anzalotti
Lobbyist,2016,Chelsea Elizabeth Aquino
Lobbyist,2016,Michael John Araujo
Lobbyist,2016,Cynthia Arcate
Lobbyist,2016,Kristen Laurel Archibald
Lobbyist,2016,Anthony L Archinski
Lobbyist,2016,Derek L Armstrong
Lobbyist,2016,Kristina Ragosta Arnoux
Lobbyist,2016,David Ashley
Lobbyist,2016,George Atanasov
Lobbyist,2016,"Chester G Atkins (ADS Ventures, Inc.)"
Lobbyist,2016,Kathryn Audette
Lobbyist,2016,John Augustine
Lobbyist,2016,"James M. Avery (Pierce Atwood, LLP)"
Lobbyist,2016,Michael Avitzur
Lobbyist,2016,George Bachrach
Lobbyist,2016,"Steven A. Baddour (ML Strategies, LLC)"
Lobbyist,2016,Andrew C Bagley
Lobbyist,2016,Patricia Jane Baker
Lobbyist,2016,Robert Alan Baker
Lobbyist,2016,Julie Ann Balasalle
Lobbyist,2016,Donald Baldini
Lobbyist,2016,mary s baldwin
Lobbyist,2016,Sarah Balog
Lobbyist,2016,Kim A Barber
Lobbyist,2016,Thomas Barnett
Lobbyist,2016,Gary Michael Barrett (Gary Michael Barrett)
Lobbyist,2016,Paul Barry
Lobbyist,2016,Katherine Barry
Lobbyist,2016,Robert S. Barry (Robert S. Barry Consulting)
Lobbyist,2016,Valerie Barsom (Barsom Associates)
Lobbyist Organisations,2016,Barsom Associates
Lobbyist,2016,Thomas E. Bartell
Lobbyist,2016,John C Bartley (Beacon Hill Consulting Group)
Lobbyist,2016,David M. Bartley (Golden West Associates)
Lobbyist,2016,Mary Elizabeth T Barwick (RAI Services Company)
Lobbyist,2016,Michael Basmajian
Lobbyist,2016,Jill Batty
Lobbyist,2016,Patricia Baumer
Lobbyist,2016,Phineas Reed Baxandall
Lobbyist Organisations,2016,"Bay State Strategies Group, LLC"
Lobbyist Organisations,2016,Beacon Hill Consulting Group
Lobbyist Organisations,2016,Beacon Strategies Group
Lobbyist,2016,Timothy J. Beary
Lobbyist,2016,Lindsey Ann Beauregard
Lobbyist,2016,Andrew Beckwith
Lobbyist,2016,Geoffrey Clifton Beckwith
Lobbyist,2016,Gregory Francis Beeman
Lobbyist,2016,David I Begelfer
Lobbyist,2016,Katheleen Belgard
Lobbyist,2016,Kathleen R. Bell (Shanley Fleming Boksanski & Cahill)
Lobbyist,2016,Kathrin Belliveau
Lobbyist,2016,Laurene Belsito
Lobbyist,2016,Patrick James Bench (Benchmark Strategies)
