id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1128,IN_TRANSIT_TO,1,42.35300666,-71.04866954,2019-11-04T14:01:02-05:00,0,14
y1126,IN_TRANSIT_TO,1,42.351005,-71.030474,2019-11-04T14:00:52-05:00,0,14
y1123,IN_TRANSIT_TO,1,42.350772,-71.03067,2019-11-04T14:01:00-05:00,0,14
y1122,IN_TRANSIT_TO,0,42.347582309,-71.04302043,2019-11-04T14:01:02-05:00,0,14
y1121,IN_TRANSIT_TO,1,42.36393094,-71.01929131,2019-11-04T14:01:02-05:00,0,14
y1119,IN_TRANSIT_TO,1,42.35092573,-71.05608938,2019-11-04T14:00:18-05:00,0,14
y1285,IN_TRANSIT_TO,1,42.33180091,-71.08189459,2019-11-04T14:00:56-05:00,0,14
y1278,IN_TRANSIT_TO,0,42.33050143,-71.08355851,2019-11-04T14:01:03-05:00,0,14
y1275,IN_TRANSIT_TO,0,42.350315451,-71.063405871,2019-11-04T14:01:02-05:00,0,14
y1274,IN_TRANSIT_TO,1,42.34939063,-71.063963009,2019-11-04T14:00:57-05:00,0,14
y0455,IN_TRANSIT_TO,0,42.332946059,-71.07179922,2019-11-04T14:00:40-05:00,0,14
y0446,IN_TRANSIT_TO,1,42.3337418,-71.08255663,2019-11-04T14:01:02-05:00,0,14
y1811,IN_TRANSIT_TO,1,42.354291359,-71.05822891,2019-11-04T14:01:00-05:00,0,14
y1735,IN_TRANSIT_TO,0,42.33849988,-71.03108475,2019-11-04T14:01:06-05:00,0,14
y1895,IN_TRANSIT_TO,1,42.3301,-71.05811,2019-11-04T14:01:04-05:00,0,14
y1886,IN_TRANSIT_TO,0,42.33172607,-71.07992283,2019-11-04T14:01:06-05:00,0,14
y1865,IN_TRANSIT_TO,0,42.32982526,-71.05862891,2019-11-04T14:01:01-05:00,0,14
y1829,IN_TRANSIT_TO,1,42.34988,-71.07605,2019-11-04T14:00:39-05:00,0,14
y1766,IN_TRANSIT_TO,0,42.331896339,-71.07907921,2019-11-04T14:00:58-05:00,0,14
y1905,IN_TRANSIT_TO,1,42.336855,-71.0883626,2019-11-04T14:01:00-05:00,0,14
y1888,IN_TRANSIT_TO,1,42.33269065,-71.09261431,2019-11-04T14:01:07-05:00,0,14
y1887,IN_TRANSIT_TO,0,42.31998826,-71.06239186,2019-11-04T14:01:03-05:00,0,14
y1875,IN_TRANSIT_TO,0,42.30815,-71.06438,2019-11-04T14:00:23-05:00,0,14
y1872,IN_TRANSIT_TO,0,42.33546685,-71.09012925,2019-11-04T14:01:05-05:00,0,14
y1809,IN_TRANSIT_TO,1,42.32514723,-71.074814759,2019-11-04T14:01:03-05:00,0,14
y1805,IN_TRANSIT_TO,0,42.334364699,-71.089806039,2019-11-04T14:01:08-05:00,0,14
y1803,IN_TRANSIT_TO,1,42.31613444,-71.06603266,2019-11-04T14:01:04-05:00,0,14
y1730,IN_TRANSIT_TO,0,42.32651152,-71.07595469,2019-11-04T14:01:06-05:00,0,14
y1755,IN_TRANSIT_TO,1,42.330229029,-71.05788946,2019-11-04T14:00:48-05:00,0,14
y1904,IN_TRANSIT_TO,0,42.29269672,-71.08055482,2019-11-04T14:01:04-05:00,0,14
y1903,IN_TRANSIT_TO,0,42.30808176,-71.08984,2019-11-04T14:01:00-05:00,0,14
y1899,IN_TRANSIT_TO,0,42.33565066,-71.08678654,2019-11-04T14:00:41-05:00,0,14
y1891,IN_TRANSIT_TO,1,42.30980001,-71.09179471,2019-11-04T14:01:04-05:00,0,14
y1885,IN_TRANSIT_TO,0,42.28528915,-71.06438817,2019-11-04T14:01:06-05:00,0,14
y1822,IN_TRANSIT_TO,0,42.29835661,-71.08707275,2019-11-04T14:01:01-05:00,0,14
y1799,IN_TRANSIT_TO,1,42.33087617,-71.094825979,2019-11-04T14:01:06-05:00,0,14
y1787,IN_TRANSIT_TO,0,42.33211135,-71.093860179,2019-11-04T14:00:31-05:00,0,14
y1738,IN_TRANSIT_TO,0,42.33231446,-71.0814774,2019-11-04T14:01:03-05:00,0,14
y1714,IN_TRANSIT_TO,0,42.284999589,-71.06455066,2019-11-04T14:01:06-05:00,0,14
y1677,IN_TRANSIT_TO,1,42.30794547,-71.08946476,2019-11-04T14:01:05-05:00,0,14
y1643,IN_TRANSIT_TO,1,42.254990679,-71.12421467,2019-11-04T14:00:19-05:00,0,14
y1631,IN_TRANSIT_TO,1,42.30304,-71.11012,2019-11-04T14:00:27-05:00,0,14
y1629,IN_TRANSIT_TO,1,42.300413849,-71.1133377,2019-11-04T14:01:00-05:00,0,14
y1623,IN_TRANSIT_TO,0,42.24674009,-71.12846467,2019-11-04T14:01:00-05:00,0,14
y1622,IN_TRANSIT_TO,0,42.23751518,-71.132678,2019-11-04T14:00:59-05:00,0,14
y1620,IN_TRANSIT_TO,1,42.2665288,-71.12102909,2019-11-04T14:01:07-05:00,0,14
y1617,IN_TRANSIT_TO,0,42.28605255,-71.11880993,2019-11-04T14:01:07-05:00,0,14
y1608,IN_TRANSIT_TO,0,42.30151755,-71.11086223,2019-11-04T14:00:10-05:00,0,14
y1705,IN_TRANSIT_TO,1,42.30352,-71.11009,2019-11-04T14:00:24-05:00,0,14
y1659,IN_TRANSIT_TO,1,42.24725024,-71.17400883,2019-11-04T14:01:07-05:00,0,14
y1647,IN_TRANSIT_TO,0,42.21604755,-71.18924,2019-11-04T14:01:07-05:00,0,14
y1641,IN_TRANSIT_TO,1,42.27272,-71.14382,2019-11-04T14:01:03-05:00,0,14
y1636,IN_TRANSIT_TO,0,42.27312,-71.14367,2019-11-04T14:01:00-05:00,0,14
y1635,IN_TRANSIT_TO,0,42.14449,-71.25432,2019-11-04T14:00:04-05:00,0,14
y1644,IN_TRANSIT_TO,0,42.29957357,-71.11455033,2019-11-04T14:01:06-05:00,0,14
y1632,IN_TRANSIT_TO,1,42.28574377,-71.12880819,2019-11-04T14:01:06-05:00,0,14
y1672,IN_TRANSIT_TO,0,42.2546,-71.14529,2019-11-04T14:00:35-05:00,0,14
y1860,IN_TRANSIT_TO,0,42.3365063,-71.08863023,2019-11-04T14:01:06-05:00,0,14
y1729,IN_TRANSIT_TO,1,42.34199608,-71.07519966,2019-11-04T14:01:03-05:00,0,14
y1884,IN_TRANSIT_TO,0,42.33109348,-71.08261739,2019-11-04T14:01:06-05:00,0,14
y1862,IN_TRANSIT_TO,1,42.33978019,-71.06462123,2019-11-04T14:01:03-05:00,0,14
y1845,IN_TRANSIT_TO,1,42.338947779,-71.107036649,2019-11-04T14:01:06-05:00,0,14
y1815,IN_TRANSIT_TO,0,42.36484198,-71.10292678,2019-11-04T14:01:07-05:00,0,14
y1813,IN_TRANSIT_TO,0,42.33992592,-71.10020907,2019-11-04T14:01:06-05:00,0,14
y1812,IN_TRANSIT_TO,1,42.33081,-71.08494,2019-11-04T14:00:19-05:00,0,14
y1702,IN_TRANSIT_TO,1,42.32956129,-71.19486265,2019-11-04T14:00:57-05:00,0,14
y1626,IN_TRANSIT_TO,0,42.30294736,-71.11050434,2019-11-04T14:01:00-05:00,0,14
y1425,IN_TRANSIT_TO,0,42.406,-71.16314,2019-11-04T14:01:03-05:00,0,14
y1405,IN_TRANSIT_TO,1,42.39599427,-71.14131891,2019-11-04T13:59:52-05:00,0,13
y0695,IN_TRANSIT_TO,1,42.45327081,-71.232813169,2019-11-04T14:01:06-05:00,0,14
y1882,IN_TRANSIT_TO,0,42.331373419,-71.0939845,2019-11-04T14:00:39-05:00,0,14
y1863,IN_TRANSIT_TO,0,42.37171754,-71.12081546,2019-11-04T14:01:07-05:00,0,14
y1858,IN_TRANSIT_TO,0,42.37540648,-71.11935213,2019-11-04T14:00:35-05:00,0,14
y1849,IN_TRANSIT_TO,0,42.35268,-71.13197,2019-11-04T14:01:02-05:00,0,14
y1844,IN_TRANSIT_TO,1,42.35055923,-71.1311481,2019-11-04T14:00:35-05:00,0,14
y1841,IN_TRANSIT_TO,0,42.33061728,-71.08328723,2019-11-04T14:01:05-05:00,0,14
y1838,IN_TRANSIT_TO,0,42.3406503,-71.0582843,2019-11-04T14:00:36-05:00,0,14
y1807,IN_TRANSIT_TO,1,42.34107,-71.05763,2019-11-04T14:00:42-05:00,0,14
y1774,IN_TRANSIT_TO,1,42.33329,-71.11881,2019-11-04T14:00:38-05:00,0,14
y1762,IN_TRANSIT_TO,1,42.333245519,-71.10235191,2019-11-04T14:01:06-05:00,0,14
y1746,IN_TRANSIT_TO,1,42.32951162,-71.08615352,2019-11-04T14:00:37-05:00,0,14
y1745,IN_TRANSIT_TO,0,42.33226,-71.11165,2019-11-04T14:00:51-05:00,0,14
y1743,IN_TRANSIT_TO,0,42.33337893,-71.11885895,2019-11-04T14:01:06-05:00,0,14
y1736,IN_TRANSIT_TO,0,42.33515486,-71.07104545,2019-11-04T14:01:06-05:00,0,14
y1726,IN_TRANSIT_TO,1,42.36928719,-71.1229543,2019-11-04T14:01:06-05:00,0,14
y0454,IN_TRANSIT_TO,None,42.33128124,-71.09326116,2019-11-04T14:00:57-05:00,0,14
y1437,IN_TRANSIT_TO,0,42.3740235,-71.10324203,2019-11-04T14:01:04-05:00,0,14
y0733,IN_TRANSIT_TO,1,42.3709039,-71.0767071,2019-11-04T13:59:32-05:00,0,13
y0625,IN_TRANSIT_TO,0,42.3729241,-71.1170714,2019-11-04T14:00:44-05:00,0,14
y4124,IN_TRANSIT_TO,0,42.374683849,-71.149970999,2019-11-04T14:00:55-05:00,0,14
y4114,IN_TRANSIT_TO,0,42.38491796,-71.11949335,2019-11-04T14:01:06-05:00,0,14
y4109,IN_TRANSIT_TO,1,42.37069629,-71.16297077,2019-11-04T14:01:06-05:00,0,14
y4101,IN_TRANSIT_TO,0,42.366416059,-71.181688249,2019-11-04T14:01:07-05:00,0,14
y0723,IN_TRANSIT_TO,0,42.37656093,-71.12208636,2019-11-04T14:01:06-05:00,0,14
y1449,IN_TRANSIT_TO,1,42.37462109,-71.11893706,2019-11-04T14:01:07-05:00,0,14
y1429,IN_TRANSIT_TO,1,42.402788459,-71.13863687,2019-11-04T14:01:04-05:00,0,14
y1407,IN_TRANSIT_TO,0,42.4153115,-71.15260384,2019-11-04T14:00:57-05:00,0,14
y0725,IN_TRANSIT_TO,1,42.3731437,-71.1219926,2019-11-04T13:58:33-05:00,0,13
y0693,IN_TRANSIT_TO,1,42.37264069,-71.122656619,2019-11-04T13:56:35-05:00,0,13
y0689,IN_TRANSIT_TO,0,42.39693683,-71.09044924,2019-11-04T14:01:07-05:00,0,14
y0676,IN_TRANSIT_TO,1,42.41608174,-71.1565496,2019-11-04T14:01:04-05:00,0,14
y0672,IN_TRANSIT_TO,1,42.37243743,-71.122163229,2019-11-04T14:01:03-05:00,0,14
y0671,IN_TRANSIT_TO,0,42.39434961,-71.1267163,2019-11-04T14:01:08-05:00,0,14
y0636,IN_TRANSIT_TO,0,42.4249504,-71.1848918,2019-11-04T13:59:43-05:00,0,13
y1913,IN_TRANSIT_TO,0,42.38621966,-71.08951757,2019-11-04T14:01:06-05:00,0,14
y1423,IN_TRANSIT_TO,1,42.39030127,-71.09840754,2019-11-04T14:01:02-05:00,0,14
y0715,IN_TRANSIT_TO,0,42.4150474,-71.1507705,2019-11-04T14:00:13-05:00,0,14
y0641,IN_TRANSIT_TO,1,42.38417958,-71.10024318,2019-11-04T14:01:07-05:00,0,14
y1939,IN_TRANSIT_TO,1,42.37648,-71.0876,2019-11-04T14:00:12-05:00,0,14
y1447,IN_TRANSIT_TO,0,42.382280289,-71.09050663,2019-11-04T14:01:07-05:00,0,14
y0731,IN_TRANSIT_TO,0,42.404219419,-71.12895172,2019-11-04T14:01:07-05:00,0,14
y0623,IN_TRANSIT_TO,1,42.38722359,-71.10022773,2019-11-04T14:01:06-05:00,0,14
y0724,IN_TRANSIT_TO,1,42.38393104,-71.07655148,2019-11-04T14:01:07-05:00,0,14
y0638,IN_TRANSIT_TO,1,42.37293994,-71.09848804,2019-11-04T14:01:03-05:00,0,14
y1932,IN_TRANSIT_TO,0,42.42171,-71.13601,2019-11-04T14:00:58-05:00,0,14
y0429,IN_TRANSIT_TO,1,42.3966051,-71.1216012,2019-11-04T14:00:56-05:00,0,14
y0419,IN_TRANSIT_TO,0,42.40192744,-71.06972175,2019-11-04T14:01:05-05:00,0,14
y1940,IN_TRANSIT_TO,1,42.39732,-71.0999,2019-11-04T13:58:25-05:00,0,13
y1450,IN_TRANSIT_TO,1,42.421247669,-71.09778616,2019-11-04T14:01:03-05:00,0,14
y0708,IN_TRANSIT_TO,0,42.42147376,-71.09711504,2019-11-04T14:01:01-05:00,0,14
y0511,IN_TRANSIT_TO,0,42.434880919,-71.04559414,2019-11-04T14:01:09-05:00,0,14
y0431,IN_TRANSIT_TO,1,42.4024756,-71.0758156,2019-11-04T14:00:33-05:00,0,14
y0614,IN_TRANSIT_TO,0,42.40882149,-71.04587171,2019-11-04T14:01:06-05:00,0,14
y0608,IN_TRANSIT_TO,1,42.41350742,-71.03991933,2019-11-04T14:01:06-05:00,0,14
y0873,IN_TRANSIT_TO,1,42.38447736,-71.03937989,2019-11-04T14:01:01-05:00,0,14
y0884,IN_TRANSIT_TO,0,42.43239049,-71.02506583,2019-11-04T14:01:07-05:00,0,14
y0744,IN_TRANSIT_TO,1,42.41757863,-71.01685995,2019-11-04T14:01:06-05:00,0,14
y0405,IN_TRANSIT_TO,0,42.44664855,-71.06808182,2019-11-04T14:01:05-05:00,0,14
y0539,IN_TRANSIT_TO,1,42.46452176,-71.061760179,2019-11-04T14:01:04-05:00,0,14
y0533,IN_TRANSIT_TO,0,42.4227056,-71.0906076,2019-11-04T14:00:36-05:00,0,14
y0790,IN_TRANSIT_TO,0,42.28637847,-71.05467799,2019-11-04T14:01:06-05:00,0,14
y0807,IN_TRANSIT_TO,1,42.2603489,-71.0095065,2019-11-04T14:00:10-05:00,0,14
y0818,IN_TRANSIT_TO,0,42.26091189,-70.978910929,2019-11-04T14:01:05-05:00,0,14
y0761,IN_TRANSIT_TO,1,42.10889107,-71.02244175,2019-11-04T14:01:04-05:00,0,14
y0758,IN_TRANSIT_TO,0,42.25210329,-71.00510727,2019-11-04T14:01:06-05:00,0,14
y0806,IN_TRANSIT_TO,1,42.20957009,-70.99743226,2019-11-04T14:01:06-05:00,0,14
y0805,IN_TRANSIT_TO,0,42.270350489,-71.0733213,2019-11-04T14:01:07-05:00,0,14
y0778,IN_TRANSIT_TO,0,42.1511579,-71.04428376,2019-11-04T14:01:07-05:00,0,14
y0897,IN_TRANSIT_TO,1,42.46548873,-70.98330391,2019-11-04T14:01:06-05:00,0,14
y0859,IN_TRANSIT_TO,1,42.45982304,-71.025885419,2019-11-04T14:01:05-05:00,0,14
y0749,IN_TRANSIT_TO,1,42.4684402,-70.984411,2019-11-04T14:00:20-05:00,0,14
y0734,IN_TRANSIT_TO,0,42.4622185,-70.9453296,2019-11-04T14:01:12-05:00,0,14
y0867,IN_TRANSIT_TO,0,42.46089106,-70.95134367,2019-11-04T14:01:06-05:00,0,14
y0612,IN_TRANSIT_TO,1,42.54213565,-70.94945857,2019-11-04T14:01:07-05:00,0,14
y0901,IN_TRANSIT_TO,0,42.45323991,-70.96185871,2019-11-04T14:01:06-05:00,0,14
y0872,IN_TRANSIT_TO,1,42.45652689,-70.95287975,2019-11-04T14:00:28-05:00,0,14
y0861,IN_TRANSIT_TO,0,42.51947001,-70.90903132,2019-11-04T14:00:57-05:00,0,14
y0883,IN_TRANSIT_TO,0,42.5190089,-70.9092665,2019-11-04T14:01:11-05:00,0,14
y0862,IN_TRANSIT_TO,1,42.519948669,-70.910752009,2019-11-04T14:01:07-05:00,0,14
