id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1298,IN_TRANSIT_TO,1,42.35330961,-71.05085321,2019-11-06T16:59:52-05:00,2,16
y1297,IN_TRANSIT_TO,1,42.3536358,-71.05340132,2019-11-06T16:59:54-05:00,2,16
y1131,IN_TRANSIT_TO,1,42.34800639,-71.04186857,2019-11-06T16:59:57-05:00,2,16
y1130,IN_TRANSIT_TO,1,42.357455,-71.026397,2019-11-06T16:59:54-05:00,2,16
y1129,IN_TRANSIT_TO,1,42.34716407,-71.039008179,2019-11-06T16:59:55-05:00,2,16
y1127,IN_TRANSIT_TO,1,42.35092573,-71.05608938,2019-11-06T16:58:37-05:00,2,16
y1125,IN_TRANSIT_TO,1,42.3461153,-71.0377569,2019-11-06T16:59:42-05:00,2,16
y1122,IN_TRANSIT_TO,0,42.36509536,-71.020577259,2019-11-06T16:59:51-05:00,2,16
y1120,IN_TRANSIT_TO,0,42.347583,-71.0429047,2019-11-06T16:59:55-05:00,2,16
y1292,IN_TRANSIT_TO,1,42.33664176,-71.0767716,2019-11-06T16:59:55-05:00,2,16
y1291,IN_TRANSIT_TO,1,42.3525938,-71.056861539,2019-11-06T16:59:56-05:00,2,16
y1287,IN_TRANSIT_TO,1,42.35223459,-71.05689749,2019-11-06T16:59:54-05:00,2,16
y1283,IN_TRANSIT_TO,0,42.34987,-71.06376,2019-11-06T16:59:37-05:00,2,16
y1276,IN_TRANSIT_TO,0,42.32966,-71.08373,2019-11-06T16:59:05-05:00,2,16
y0570,IN_TRANSIT_TO,1,42.330106309,-71.05729587,2019-11-06T16:55:42-05:00,2,16
y0565,IN_TRANSIT_TO,1,42.338262039,-71.09671757,2019-11-06T16:59:55-05:00,2,16
y0542,IN_TRANSIT_TO,1,42.33462938,-71.0753272,2019-11-06T16:59:54-05:00,2,16
y0509,IN_TRANSIT_TO,0,42.3355912,-71.0867092,2019-11-06T16:59:40-05:00,2,16
y1855,IN_TRANSIT_TO,0,42.34716,-71.0421,2019-11-06T16:59:40-05:00,2,16
y1852,IN_TRANSIT_TO,1,42.34561776,-71.0410392,2019-11-06T16:59:51-05:00,2,16
y1838,IN_TRANSIT_TO,1,42.35129693,-71.052599679,2019-11-06T16:59:47-05:00,2,16
y1830,IN_TRANSIT_TO,0,42.352906509,-71.05713813,2019-11-06T16:59:35-05:00,2,16
y1828,IN_TRANSIT_TO,1,42.350489269,-71.05064205,2019-11-06T16:59:57-05:00,2,16
y1815,IN_TRANSIT_TO,1,42.35291303,-71.05632277,2019-11-06T16:59:54-05:00,2,16
y1775,IN_TRANSIT_TO,1,42.34505,-71.04001,2019-11-06T16:59:13-05:00,2,16
y1720,IN_TRANSIT_TO,0,42.33576793,-71.030781009,2019-11-06T16:59:56-05:00,2,16
y1866,IN_TRANSIT_TO,0,42.32741454,-71.061628119,2019-11-06T16:59:49-05:00,2,16
y1829,IN_TRANSIT_TO,1,42.33551413,-71.04526999,2019-11-06T16:59:56-05:00,2,16
y1792,IN_TRANSIT_TO,1,42.33340281,-71.0732511,2019-11-06T16:59:54-05:00,2,16
y1844,IN_TRANSIT_TO,1,42.334253769,-71.08994319,2019-11-06T16:59:57-05:00,2,16
y1842,IN_TRANSIT_TO,0,42.33555686,-71.08996804,2019-11-06T16:59:34-05:00,2,16
y1822,IN_TRANSIT_TO,0,42.32956724,-71.0843235,2019-11-06T16:59:50-05:00,2,16
y1763,IN_TRANSIT_TO,0,42.31121,-71.06256,2019-11-06T16:59:31-05:00,2,16
y1744,IN_TRANSIT_TO,1,42.33624,-71.08911,2019-11-06T16:59:21-05:00,2,16
y1738,IN_TRANSIT_TO,0,42.32750467,-71.07708847,2019-11-06T16:59:56-05:00,2,16
y1736,IN_TRANSIT_TO,0,42.326459839,-71.075894369,2019-11-06T16:59:56-05:00,2,16
y1723,IN_TRANSIT_TO,1,42.32953482,-71.08368261,2019-11-06T16:59:48-05:00,2,16
y1716,IN_TRANSIT_TO,1,42.31685699,-71.065471259,2019-11-06T16:59:47-05:00,2,16
y1864,IN_TRANSIT_TO,0,42.31447834,-71.05700404,2019-11-06T16:59:53-05:00,2,16
y1833,IN_TRANSIT_TO,1,42.29832421,-71.06139932,2019-11-06T16:59:53-05:00,2,16
y1909,IN_TRANSIT_TO,1,42.29582432,-71.087564979,2019-11-06T16:59:56-05:00,2,16
y1899,IN_TRANSIT_TO,1,42.33758062,-71.08848854,2019-11-06T16:59:53-05:00,2,16
y1893,IN_TRANSIT_TO,0,42.29516233,-71.08786334,2019-11-06T16:59:55-05:00,2,16
y1875,IN_TRANSIT_TO,0,42.28392,-71.06368,2019-11-06T16:59:45-05:00,2,16
y1873,IN_TRANSIT_TO,1,42.32171965,-71.09836915,2019-11-06T16:59:57-05:00,2,16
y1861,IN_TRANSIT_TO,0,42.30422,-71.08502,2019-11-06T16:59:42-05:00,2,16
y1807,IN_TRANSIT_TO,1,42.33686961,-71.08939739,2019-11-06T16:59:56-05:00,2,16
y1751,IN_TRANSIT_TO,0,42.32839213,-71.09698665,2019-11-06T16:59:54-05:00,2,16
y1749,IN_TRANSIT_TO,1,42.30758284,-71.08884974,2019-11-06T16:59:34-05:00,2,16
y1740,IN_TRANSIT_TO,0,42.313447379,-71.09539996,2019-11-06T16:59:49-05:00,2,16
y1715,IN_TRANSIT_TO,0,42.28376,-71.06375,2019-11-06T16:59:51-05:00,2,16
y1644,IN_TRANSIT_TO,1,42.27864397,-71.0793077,2019-11-06T16:59:57-05:00,2,16
y1621,IN_TRANSIT_TO,1,42.27890201,-71.06960859,2019-11-06T16:59:56-05:00,2,16
y1710,IN_TRANSIT_TO,0,42.29551697,-71.08789466,2019-11-06T16:59:52-05:00,2,16
