id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1294,IN_TRANSIT_TO,1,42.35225476,-71.05560903,2019-11-05T13:00:30-05:00,1,13
y1131,IN_TRANSIT_TO,1,42.35270714,-71.05519052,2019-11-05T13:00:30-05:00,1,13
y1111,IN_TRANSIT_TO,1,42.34471272,-71.030438169,2019-11-05T13:00:31-05:00,1,13
y1291,IN_TRANSIT_TO,1,42.35527,-71.0621,2019-11-05T12:59:54-05:00,1,12
y1290,IN_TRANSIT_TO,1,42.35418636,-71.06172836,2019-11-05T13:00:32-05:00,1,13
y1283,IN_TRANSIT_TO,0,42.34976,-71.06361,2019-11-05T12:59:58-05:00,1,12
y1279,IN_TRANSIT_TO,0,42.32970141,-71.08402971,2019-11-05T13:00:10-05:00,1,13
y1275,IN_TRANSIT_TO,1,42.33168672,-71.08197687,2019-11-05T13:00:32-05:00,1,13
y1908,IN_TRANSIT_TO,1,42.36075607,-71.095982609,2019-11-05T13:00:30-05:00,1,13
y1904,IN_TRANSIT_TO,0,42.34693719,-71.087512839,2019-11-05T13:00:32-05:00,1,13
y1873,IN_TRANSIT_TO,0,42.35075396,-71.0894729,2019-11-05T13:00:30-05:00,1,13
y1872,IN_TRANSIT_TO,1,42.37467982,-71.11458872,2019-11-05T13:00:32-05:00,1,13
y1860,IN_TRANSIT_TO,1,42.33684632,-71.077637449,2019-11-05T12:59:50-05:00,1,12
y1851,IN_TRANSIT_TO,0,42.37312,-71.1177,2019-11-05T13:00:00-05:00,1,13
y1833,IN_TRANSIT_TO,1,42.34288054,-71.08509427,2019-11-05T13:00:27-05:00,1,13
y1825,IN_TRANSIT_TO,0,42.33579412,-71.07627483,2019-11-05T13:00:23-05:00,1,13
y1822,IN_TRANSIT_TO,1,42.32971,-71.08379,2019-11-05T12:59:47-05:00,1,12
y1792,IN_TRANSIT_TO,1,42.3298,-71.08398,2019-11-05T13:00:03-05:00,1,13
y1888,IN_TRANSIT_TO,1,42.33389687,-71.082554509,2019-11-05T13:00:31-05:00,1,13
y1865,IN_TRANSIT_TO,0,42.33519042,-71.07852544,2019-11-05T13:00:26-05:00,1,13
y1770,IN_TRANSIT_TO,1,42.31658601,-71.03816786,2019-11-05T13:00:26-05:00,1,13
y1849,IN_TRANSIT_TO,1,42.35344,-71.06005,2019-11-05T13:00:03-05:00,1,13
