id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1121,IN_TRANSIT_TO,0,42.3330211,-71.0647288,2019-11-04T01:00:19-05:00,0,1
y1114,IN_TRANSIT_TO,1,42.3526432,-71.0551134,2019-11-04T00:59:32-05:00,0,0
y1112,IN_TRANSIT_TO,0,42.39671849,-71.04018484,2019-11-04T01:00:17-05:00,0,1
y1102,IN_TRANSIT_TO,1,42.3429436,-71.0524446,2019-11-04T01:00:24-05:00,0,1
y1811,IN_TRANSIT_TO,0,42.34452076,-71.06191313,2019-11-04T01:00:21-05:00,0,1
y1266,IN_TRANSIT_TO,1,42.3162705,-71.0829104,2019-11-04T01:00:17-05:00,0,1
y1261,IN_TRANSIT_TO,0,42.267756069,-71.09378502,2019-11-04T01:00:17-05:00,0,1
y1259,IN_TRANSIT_TO,0,42.30760999,-71.08388263,2019-11-04T01:00:23-05:00,0,1
y1253,IN_TRANSIT_TO,1,42.33646183,-71.08840356,2019-11-04T00:59:51-05:00,0,0
y1642,IN_TRANSIT_TO,1,42.30020749,-71.104040729,2019-11-04T01:00:21-05:00,0,1
y1698,IN_TRANSIT_TO,0,42.25105932,-71.16978311,2019-11-04T01:00:20-05:00,0,1
y1702,IN_TRANSIT_TO,1,42.28577215,-71.12904107,2019-11-04T01:00:06-05:00,0,1
y1689,IN_TRANSIT_TO,1,42.30352,-71.10993,2019-11-04T00:59:38-05:00,0,0
y1653,IN_TRANSIT_TO,1,42.30368671,-71.10978641,2019-11-04T00:58:15-05:00,0,0
y1703,IN_TRANSIT_TO,0,42.30136172,-71.11288472,2019-11-04T01:00:08-05:00,0,1
y1699,IN_TRANSIT_TO,1,42.34989,-71.07803,2019-11-04T00:59:39-05:00,0,0
y1643,IN_TRANSIT_TO,0,42.30309434,-71.11063842,2019-11-04T01:00:23-05:00,0,1
y1893,IN_TRANSIT_TO,0,42.35351227,-71.1378806,2019-11-04T01:00:21-05:00,0,1
y1867,IN_TRANSIT_TO,0,42.36403,-71.18553,2019-11-04T00:59:30-05:00,0,0
y1818,IN_TRANSIT_TO,1,42.34921,-71.10041,2019-11-04T01:00:25-05:00,0,1
y0727,IN_TRANSIT_TO,1,42.37447562,-71.12718172,2019-11-04T01:00:20-05:00,0,1
y1411,IN_TRANSIT_TO,1,42.37124,-71.07732,2019-11-04T01:00:15-05:00,0,1
y1407,IN_TRANSIT_TO,0,42.39331753,-71.09465984,2019-11-04T01:00:22-05:00,0,1
y0615,IN_TRANSIT_TO,1,42.3730989,-71.1223076,2019-11-04T00:59:59-05:00,0,0
y0614,IN_TRANSIT_TO,1,42.38373891,-71.07564599,2019-11-04T01:00:14-05:00,0,1
y0900,IN_TRANSIT_TO,1,42.3694984,-71.0393164,2019-11-04T01:00:24-05:00,0,1
y0823,IN_TRANSIT_TO,0,42.3632292,-71.05839901,2019-11-04T01:00:22-05:00,0,1
y0781,IN_TRANSIT_TO,1,42.3000651,-71.0622978,2019-11-04T00:59:46-05:00,0,0
y1127,IN_TRANSIT_TO,1,42.367285629,-71.01784288,2019-11-04T01:01:42-05:00,0,1
y1124,IN_TRANSIT_TO,1,42.3525171,-71.0549301,2019-11-04T01:01:36-05:00,0,1
y1121,IN_TRANSIT_TO,0,42.3330211,-71.0647288,2019-11-04T01:01:19-05:00,0,1
y1120,IN_TRANSIT_TO,1,42.352438319,-71.05479827,2019-11-04T01:01:43-05:00,0,1
y1874,IN_TRANSIT_TO,1,42.351581129,-71.07092588,2019-11-04T01:01:40-05:00,0,1
y1803,IN_TRANSIT_TO,0,42.34994,-71.0778,2019-11-04T01:00:57-05:00,0,1
y1872,IN_TRANSIT_TO,1,42.32802158,-71.07782327,2019-11-04T01:01:43-05:00,0,1
y1841,IN_TRANSIT_TO,0,42.33132645,-71.0937078,2019-11-04T01:01:43-05:00,0,1
y1887,IN_TRANSIT_TO,0,42.29367879,-71.08379552,2019-11-04T01:01:42-05:00,0,1
y1770,IN_TRANSIT_TO,0,42.32489308,-71.05686716,2019-11-04T01:01:37-05:00,0,1
y1652,IN_TRANSIT_TO,1,42.26508689,-71.12115869,2019-11-04T01:01:44-05:00,0,1
y1685,IN_TRANSIT_TO,1,42.30371,-71.10989,2019-11-04T01:01:08-05:00,0,1
y1605,IN_TRANSIT_TO,0,42.159535599,-71.2179529,2019-11-04T01:01:27-05:00,0,1
y1825,IN_TRANSIT_TO,1,42.35644,-71.06215,2019-11-04T01:01:09-05:00,0,1
y1838,IN_TRANSIT_TO,0,42.350789399,-71.110573229,2019-11-04T01:01:38-05:00,0,1
y1868,IN_TRANSIT_TO,1,42.33020512,-71.08724089,2019-11-04T01:01:44-05:00,0,1
y1797,IN_TRANSIT_TO,0,42.37541,-71.11938,2019-11-04T01:00:52-05:00,0,1
y1795,IN_TRANSIT_TO,0,42.37426116,-71.11878348,2019-11-04T01:01:42-05:00,0,1
y1778,IN_TRANSIT_TO,1,42.32914173,-71.08390663,2019-11-04T01:00:55-05:00,0,1
y1406,IN_TRANSIT_TO,1,42.37099,-71.07679,2019-11-04T01:01:40-05:00,0,1
y1448,IN_TRANSIT_TO,1,42.37300448,-71.12228644,2019-11-04T01:01:44-05:00,0,1
y1410,IN_TRANSIT_TO,0,42.42432654,-71.18224545,2019-11-04T01:01:43-05:00,0,1
y0698,IN_TRANSIT_TO,1,42.3729981,-71.122271,2019-11-04T01:01:27-05:00,0,1
y1408,IN_TRANSIT_TO,1,42.37107,-71.07699,2019-11-04T01:00:49-05:00,0,1
y1925,IN_TRANSIT_TO,1,42.43118,-71.05631,2019-11-04T01:01:34-05:00,0,1
y0602,IN_TRANSIT_TO,1,42.2518037,-71.0050524,2019-11-04T01:01:05-05:00,0,1
y0756,IN_TRANSIT_TO,0,42.16391705,-71.0416112,2019-11-04T01:01:45-05:00,0,1
y1121,IN_TRANSIT_TO,0,42.3330211,-71.0647288,2019-11-04T01:01:19-05:00,0,1
y1287,IN_TRANSIT_TO,1,42.35531545,-71.062121829,2019-11-04T01:02:35-05:00,0,1
y1880,IN_TRANSIT_TO,1,42.32968,-71.08384,2019-11-04T01:02:04-05:00,0,1
y1860,IN_TRANSIT_TO,0,42.37306,-71.11736,2019-11-04T01:02:00-05:00,0,1
y1837,IN_TRANSIT_TO,1,42.36095464,-71.09633465,2019-11-04T01:02:52-05:00,0,1
y1821,IN_TRANSIT_TO,1,42.34143,-71.0579,2019-11-04T01:02:56-05:00,0,1
y1876,IN_TRANSIT_TO,0,42.33273373,-71.07250246,2019-11-04T01:02:42-05:00,0,1
y1839,IN_TRANSIT_TO,1,42.353311269,-71.06009297,2019-11-04T01:02:38-05:00,0,1
y1853,IN_TRANSIT_TO,1,42.33038,-71.057,2019-11-04T01:02:22-05:00,0,1
y1905,IN_TRANSIT_TO,1,42.32941098,-71.08412799,2019-11-04T01:02:49-05:00,0,1
y1794,IN_TRANSIT_TO,0,42.28382,-71.06375,2019-11-04T01:02:38-05:00,0,1
y1776,IN_TRANSIT_TO,0,42.32413066,-71.08305159,2019-11-04T01:02:54-05:00,0,1
y1814,IN_TRANSIT_TO,0,42.31723462,-71.09814133,2019-11-04T01:03:02-05:00,0,1
