id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1129,IN_TRANSIT_TO,1,42.38958625,-71.02447176,2019-11-08T19:59:46-05:00,4,19
y1114,IN_TRANSIT_TO,1,42.34880082,-71.04358525,2019-11-08T19:59:39-05:00,4,19
y1112,IN_TRANSIT_TO,1,42.34854878,-71.04316032,2019-11-08T19:59:48-05:00,4,19
y1110,IN_TRANSIT_TO,0,42.34710809,-71.03793736,2019-11-08T19:59:48-05:00,4,19
y1108,IN_TRANSIT_TO,0,42.39072335,-71.025212429,2019-11-08T19:59:50-05:00,4,19
y1105,IN_TRANSIT_TO,0,42.34666106,-71.037186289,2019-11-08T19:59:48-05:00,4,19
y1104,IN_TRANSIT_TO,1,42.3490135,-71.0428945,2019-11-08T19:59:46-05:00,4,19
y0558,IN_TRANSIT_TO,1,42.3326886,-71.0745851,2019-11-08T19:59:17-05:00,4,19
y1896,IN_TRANSIT_TO,0,42.33869,-71.03173,2019-11-08T19:59:07-05:00,4,19
y1891,IN_TRANSIT_TO,0,42.34634908,-71.06262981,2019-11-08T19:59:49-05:00,4,19
y1862,IN_TRANSIT_TO,1,42.34399297,-71.06582289,2019-11-08T19:59:51-05:00,4,19
y1845,IN_TRANSIT_TO,1,42.33849053,-71.04515709,2019-11-08T19:59:48-05:00,4,19
y1779,IN_TRANSIT_TO,1,42.33559321,-71.04143307,2019-11-08T19:59:50-05:00,4,19
y1763,IN_TRANSIT_TO,1,42.35033198,-71.0726757,2019-11-08T19:59:41-05:00,4,19
y1762,IN_TRANSIT_TO,0,42.33855,-71.03184,2019-11-08T19:57:26-05:00,4,19
y1759,IN_TRANSIT_TO,0,42.34345177,-71.05834941,2019-11-08T19:59:49-05:00,4,19
y1739,IN_TRANSIT_TO,0,42.33563411,-71.03222082,2019-11-08T19:59:49-05:00,4,19
y1692,IN_TRANSIT_TO,0,42.30611829,-71.107891789,2019-11-08T19:59:48-05:00,4,19
y1616,IN_TRANSIT_TO,1,42.33514,-71.09003,2019-11-08T19:59:23-05:00,4,19
y1816,IN_TRANSIT_TO,1,42.33029716,-71.05801691,2019-11-08T19:59:32-05:00,4,19
y1600,IN_TRANSIT_TO,0,42.28082126,-71.08459326,2019-11-08T19:59:48-05:00,4,19
y1636,IN_TRANSIT_TO,1,42.28423,-71.06393,2019-11-08T19:59:42-05:00,4,19
y1622,IN_TRANSIT_TO,0,42.30001277,-71.11354789,2019-11-08T19:59:49-05:00,4,19
y1267,IN_TRANSIT_TO,1,42.32949323,-71.08342125,2019-11-08T19:59:51-05:00,4,19
y1264,IN_TRANSIT_TO,1,42.305873929,-71.084506899,2019-11-08T19:59:51-05:00,4,19
y1256,IN_TRANSIT_TO,1,42.33216962,-71.07981603,2019-11-08T19:59:50-05:00,4,19
y1255,IN_TRANSIT_TO,0,42.295293,-71.087934809,2019-11-08T19:59:42-05:00,4,19
