id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1294,IN_TRANSIT_TO,1,42.35248277,-71.05540138,2019-11-06T15:00:51-05:00,2,15
y1125,IN_TRANSIT_TO,0,42.33330325,-71.07137275,2019-11-06T15:00:53-05:00,2,15
y1113,IN_TRANSIT_TO,0,42.3439765,-71.0305143,2019-11-06T15:00:46-05:00,2,15
y1112,IN_TRANSIT_TO,1,42.35330961,-71.05085321,2019-11-06T15:00:48-05:00,2,15
y1288,IN_TRANSIT_TO,0,42.33807,-71.07484,2019-11-06T15:00:58-05:00,2,15
y1285,IN_TRANSIT_TO,1,42.33871998,-71.07373794,2019-11-06T15:00:47-05:00,2,15
y1284,IN_TRANSIT_TO,0,42.35325,-71.06431,2019-11-06T15:01:02-05:00,2,15
y1279,IN_TRANSIT_TO,0,42.34177,-71.06237,2019-11-06T15:00:56-05:00,2,15
y1278,IN_TRANSIT_TO,0,42.34975,-71.06359,2019-11-06T15:00:30-05:00,2,15
y1277,IN_TRANSIT_TO,1,42.34529677,-71.065080539,2019-11-06T15:00:52-05:00,2,15
y1274,IN_TRANSIT_TO,0,42.346751769,-71.064627179,2019-11-06T15:00:09-05:00,2,15
y1888,IN_TRANSIT_TO,0,42.37317,-71.11768,2019-11-06T15:01:03-05:00,2,15
y1886,IN_TRANSIT_TO,1,42.32964,-71.08393,2019-11-06T15:00:27-05:00,2,15
y1879,IN_TRANSIT_TO,1,42.34122018,-71.08263136,2019-11-06T15:00:53-05:00,2,15
y1870,IN_TRANSIT_TO,0,42.34409131,-71.086175299,2019-11-06T15:00:50-05:00,2,15
y1858,IN_TRANSIT_TO,1,42.3297,-71.08401,2019-11-06T15:00:57-05:00,2,15
y1857,IN_TRANSIT_TO,0,42.32991451,-71.08404557,2019-11-06T14:59:52-05:00,2,14
y1824,IN_TRANSIT_TO,0,42.37304204,-71.11750974,2019-11-06T15:00:50-05:00,2,15
y1817,IN_TRANSIT_TO,0,42.34820254,-71.08813121,2019-11-06T15:00:50-05:00,2,15
y1803,IN_TRANSIT_TO,0,42.34880498,-71.08846461,2019-11-06T15:00:53-05:00,2,15
y1801,IN_TRANSIT_TO,0,42.33029176,-71.08415267,2019-11-06T15:00:49-05:00,2,15
y1791,IN_TRANSIT_TO,1,42.3406382,-71.08187171,2019-11-06T15:00:55-05:00,2,15
y1788,IN_TRANSIT_TO,0,42.34775923,-71.0878277,2019-11-06T15:00:48-05:00,2,15
y1876,IN_TRANSIT_TO,0,42.33425,-71.08932,2019-11-06T15:00:34-05:00,2,15
y1854,IN_TRANSIT_TO,1,42.33600375,-71.07382255,2019-11-06T15:00:47-05:00,2,15
y1849,IN_TRANSIT_TO,1,42.349159739,-71.09542753,2019-11-06T15:00:53-05:00,2,15
y1825,IN_TRANSIT_TO,0,42.329393879,-71.06124149,2019-11-06T15:00:55-05:00,2,15
y1816,IN_TRANSIT_TO,1,42.31695729,-71.03946114,2019-11-06T15:00:49-05:00,2,15
y1807,IN_TRANSIT_TO,0,42.325801419,-71.052258699,2019-11-06T15:00:54-05:00,2,15
y1725,IN_TRANSIT_TO,0,42.34913115,-71.0952365,2019-11-06T15:00:55-05:00,2,15
y0577,IN_TRANSIT_TO,0,42.3348008,-71.0897383,2019-11-06T15:00:22-05:00,2,15
y1872,IN_TRANSIT_TO,0,42.34209867,-71.0559646,2019-11-06T15:00:54-05:00,2,15
y1866,IN_TRANSIT_TO,1,42.35303172,-71.05944476,2019-11-06T15:00:55-05:00,2,15
