id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1297,IN_TRANSIT_TO,0,42.34463,-71.03469,2019-10-31T19:59:34-04:00,3,19
y1294,IN_TRANSIT_TO,1,42.35225476,-71.05560903,2019-10-31T19:59:49-04:00,3,19
y1114,IN_TRANSIT_TO,0,42.331085,-71.0623253,2019-10-31T19:59:10-04:00,3,19
y1112,IN_TRANSIT_TO,1,42.3482181,-71.0423786,2019-10-31T19:47:10-04:00,3,19
y1110,IN_TRANSIT_TO,1,42.3473107,-71.0384469,2019-10-31T19:59:49-04:00,3,19
y1288,IN_TRANSIT_TO,0,42.33313424,-71.080936609,2019-10-31T19:59:56-04:00,3,19
y1287,IN_TRANSIT_TO,1,42.352914239,-71.06281005,2019-10-31T19:59:45-04:00,3,19
y1277,IN_TRANSIT_TO,0,42.34678,-71.06453,2019-10-31T19:59:48-04:00,3,19
y1276,IN_TRANSIT_TO,1,42.33617,-71.07726,2019-10-31T19:59:49-04:00,3,19
y1274,IN_TRANSIT_TO,1,42.35526,-71.06227,2019-10-31T19:59:17-04:00,3,19
y1898,IN_TRANSIT_TO,1,42.36129,-71.09682,2019-10-31T19:59:16-04:00,3,19
y1880,IN_TRANSIT_TO,1,42.34995,-71.08906,2019-10-31T19:58:30-04:00,3,19
y1874,IN_TRANSIT_TO,0,42.33701,-71.0776,2019-10-31T19:59:19-04:00,3,19
y1859,IN_TRANSIT_TO,1,42.32989,-71.0833,2019-10-31T19:59:52-04:00,3,19
y1858,IN_TRANSIT_TO,1,42.333,-71.07419,2019-10-31T19:59:51-04:00,3,19
y1851,IN_TRANSIT_TO,1,42.33130142,-71.08247911,2019-10-31T19:59:37-04:00,3,19
y1835,IN_TRANSIT_TO,1,42.36906491,-71.110520619,2019-10-31T19:59:35-04:00,3,19
y1824,IN_TRANSIT_TO,0,42.37321679,-71.11769407,2019-10-31T19:59:50-04:00,3,19
y1809,IN_TRANSIT_TO,0,42.36072,-71.09565,2019-10-31T19:59:46-04:00,3,19
y1802,IN_TRANSIT_TO,0,42.35039987,-71.08916146,2019-10-31T19:59:26-04:00,3,19
y1784,IN_TRANSIT_TO,1,42.34239,-71.08448,2019-10-31T19:59:01-04:00,3,19
y1741,IN_TRANSIT_TO,1,42.33155,-71.08221,2019-10-31T19:59:37-04:00,3,19
y1819,IN_TRANSIT_TO,1,42.3491,-71.09565,2019-10-31T19:59:18-04:00,3,19
y1801,IN_TRANSIT_TO,1,42.3369,-71.07277,2019-10-31T19:59:19-04:00,3,19
y1793,IN_TRANSIT_TO,0,42.33893,-71.09871,2019-10-31T19:59:44-04:00,3,19
y1770,IN_TRANSIT_TO,1,42.34897803,-71.09587613,2019-10-31T19:57:57-04:00,3,19
y1750,IN_TRANSIT_TO,0,42.32816,-71.06803,2019-10-31T19:59:44-04:00,3,19
y1830,IN_TRANSIT_TO,1,42.35299,-71.06084,2019-10-31T19:59:33-04:00,3,19
y1774,IN_TRANSIT_TO,0,42.33869,-71.03172,2019-10-31T19:58:22-04:00,3,19
y1736,IN_TRANSIT_TO,0,42.33446059,-71.05115324,2019-10-31T19:59:18-04:00,3,19
y1890,IN_TRANSIT_TO,1,42.3074,-71.07604,2019-10-31T19:59:47-04:00,3,19
y1868,IN_TRANSIT_TO,0,42.30556,-71.08044,2019-10-31T19:58:59-04:00,3,19
y1744,IN_TRANSIT_TO,0,42.330306239,-71.05718382,2019-10-31T19:59:19-04:00,3,19
y1732,IN_TRANSIT_TO,0,42.30065,-71.11332,2019-10-31T19:59:41-04:00,3,19
y1791,IN_TRANSIT_TO,0,42.30014,-71.06078,2019-10-31T19:58:47-04:00,3,19
y1885,IN_TRANSIT_TO,0,42.32319,-71.09856,2019-10-31T19:59:46-04:00,3,19
y1848,IN_TRANSIT_TO,1,42.29019,-71.07125,2019-10-31T19:59:13-04:00,3,19
y1840,IN_TRANSIT_TO,1,42.32841,-71.08325,2019-10-31T19:59:11-04:00,3,19
y1822,IN_TRANSIT_TO,1,42.28693523,-71.06480969,2019-10-31T19:59:01-04:00,3,19
y1816,IN_TRANSIT_TO,0,42.29476644,-71.07204646,2019-10-31T19:59:57-04:00,3,19
y1805,IN_TRANSIT_TO,1,42.29022,-71.07138,2019-10-31T19:59:38-04:00,3,19
y1721,IN_TRANSIT_TO,0,42.33150019,-71.094377089,2019-10-31T19:59:53-04:00,3,19
y1694,IN_TRANSIT_TO,1,42.28422,-71.064,2019-10-31T19:59:05-04:00,3,19
y1714,IN_TRANSIT_TO,0,42.28417,-71.06395,2019-10-31T19:58:55-04:00,3,19
y1677,IN_TRANSIT_TO,0,42.28751,-71.127,2019-10-31T19:59:46-04:00,3,19
y1696,IN_TRANSIT_TO,1,42.30051,-71.11315,2019-10-31T19:59:45-04:00,3,19
y1631,IN_TRANSIT_TO,1,42.30307,-71.11016,2019-10-31T19:59:51-04:00,3,19
y1678,IN_TRANSIT_TO,0,42.27897,-71.14801,2019-10-31T19:59:06-04:00,3,19
y1676,IN_TRANSIT_TO,0,42.30993,-71.11539,2019-10-31T19:58:57-04:00,3,19
y1673,IN_TRANSIT_TO,1,42.32273343,-71.09952759,2019-10-31T19:59:22-04:00,3,19
y1653,IN_TRANSIT_TO,0,42.32108414,-71.056349449,2019-10-31T19:59:49-04:00,3,19
y1813,IN_TRANSIT_TO,1,42.33288,-71.09306,2019-10-31T19:59:09-04:00,3,19
y1800,IN_TRANSIT_TO,0,42.31956,-71.08602,2019-10-31T19:59:38-04:00,3,19
y1730,IN_TRANSIT_TO,0,42.31934,-71.09828,2019-10-31T19:59:18-04:00,3,19
y1607,IN_TRANSIT_TO,1,42.30334,-71.11014,2019-10-31T19:59:17-04:00,3,19
y0468,IN_TRANSIT_TO,1,42.3496087,-71.0760366,2019-10-31T19:59:39-04:00,3,19
y0565,IN_TRANSIT_TO,1,42.30793663,-71.23541068,2019-10-31T19:59:58-04:00,3,19
y1911,IN_TRANSIT_TO,0,42.38867143,-71.08616301,2019-10-31T19:59:33-04:00,3,19
y0667,IN_TRANSIT_TO,0,42.37706465,-71.088230679,2019-10-31T19:59:29-04:00,3,19
y0639,IN_TRANSIT_TO,1,42.35189337,-71.16534272,2019-10-31T19:59:59-04:00,3,19
y0615,IN_TRANSIT_TO,1,42.3970376,-71.1433312,2019-10-31T19:55:56-04:00,3,19
y1424,IN_TRANSIT_TO,0,42.37466,-71.26301,2019-10-31T19:59:04-04:00,3,19
y1421,IN_TRANSIT_TO,0,42.37632,-71.24369,2019-10-31T19:59:00-04:00,3,19
y0729,IN_TRANSIT_TO,0,42.3645504,-71.1745557,2019-10-31T19:59:16-04:00,3,19
y0689,IN_TRANSIT_TO,1,42.3630486,-71.0998758,2019-10-31T19:59:16-04:00,3,19
y0666,IN_TRANSIT_TO,0,42.3822719,-71.2602828,2019-10-31T19:59:05-04:00,3,19
y0651,IN_TRANSIT_TO,1,42.3624556,-71.1543749,2019-10-31T19:59:29-04:00,3,19
y0641,IN_TRANSIT_TO,1,42.3614312,-71.1001743,2019-10-31T19:59:09-04:00,3,19
y0634,IN_TRANSIT_TO,1,42.3776997,-71.1467689,2019-10-31T19:59:09-04:00,3,19
y1931,IN_TRANSIT_TO,0,42.4158,-71.19458,2019-10-31T19:59:16-04:00,3,19
y0705,IN_TRANSIT_TO,0,42.3791854,-71.1251839,2019-10-31T19:58:58-04:00,3,19
y0693,IN_TRANSIT_TO,1,42.3958814,-71.1208122,2019-10-31T19:59:19-04:00,3,19
y1403,IN_TRANSIT_TO,0,42.38674,-71.11575,2019-10-31T19:59:07-04:00,3,19
y0653,IN_TRANSIT_TO,1,42.37843766,-71.10663262,2019-10-31T19:59:51-04:00,3,19
y1914,IN_TRANSIT_TO,0,42.37239,-71.12216,2019-10-31T19:58:37-04:00,3,19
y1427,IN_TRANSIT_TO,1,42.37461,-71.1189,2019-10-31T19:59:43-04:00,3,19
y0721,IN_TRANSIT_TO,0,42.3829698,-71.0770274,2019-10-31T19:59:20-04:00,3,19
y0661,IN_TRANSIT_TO,0,42.3815701,-71.0841699,2019-10-31T19:58:01-04:00,3,19
y0659,IN_TRANSIT_TO,1,42.3350522,-71.1492945,2019-10-31T19:59:01-04:00,3,19
y1910,IN_TRANSIT_TO,1,42.38487,-71.07582,2019-10-31T19:59:25-04:00,3,19
y1447,IN_TRANSIT_TO,0,42.396206019,-71.10962718,2019-10-31T19:59:28-04:00,3,19
y1436,IN_TRANSIT_TO,0,42.35952,-71.05685,2019-10-31T19:59:27-04:00,3,19
y0610,IN_TRANSIT_TO,0,42.3840624,-71.07631,2019-10-31T19:59:42-04:00,3,19
y1418,IN_TRANSIT_TO,1,42.41781,-71.11008,2019-10-31T19:59:52-04:00,3,19
y1450,IN_TRANSIT_TO,1,42.40584,-71.06185,2019-10-31T19:59:16-04:00,3,19
y1408,IN_TRANSIT_TO,0,42.41492996,-71.04833537,2019-10-31T20:00:05-04:00,3,20
y0684,IN_TRANSIT_TO,0,42.4221028,-71.0594261,2019-10-31T19:59:19-04:00,3,19
y0628,IN_TRANSIT_TO,1,42.4056521,-71.0569165,2019-10-31T19:59:53-04:00,3,19
y0694,IN_TRANSIT_TO,0,42.434065,-71.0395702,2019-10-31T19:59:21-04:00,3,19
y0518,IN_TRANSIT_TO,1,42.4266172,-71.0808467,2019-10-31T19:59:39-04:00,3,19
y0515,IN_TRANSIT_TO,1,42.409123,-71.0840427,2019-10-31T19:59:06-04:00,3,19
y1927,IN_TRANSIT_TO,0,42.36696,-71.05849,2019-10-31T19:38:12-04:00,3,19
y1918,IN_TRANSIT_TO,0,42.362902839,-71.05783169,2019-10-31T19:59:15-04:00,3,19
y1454,IN_TRANSIT_TO,0,42.395714499,-71.032828809,2019-10-31T19:59:12-04:00,3,19
y1444,IN_TRANSIT_TO,1,42.40301869,-71.0363686,2019-10-31T19:59:25-04:00,3,19
y1438,IN_TRANSIT_TO,0,42.38923323,-71.042781469,2019-10-31T20:00:02-04:00,3,20
y1414,IN_TRANSIT_TO,1,42.36335337,-71.0578496,2019-10-31T19:59:45-04:00,3,19
y1410,IN_TRANSIT_TO,0,42.39797,-71.03089,2019-10-31T19:59:53-04:00,3,19
y0724,IN_TRANSIT_TO,1,42.3952368,-71.0331325,2019-10-31T19:59:32-04:00,3,19
y0716,IN_TRANSIT_TO,0,42.3885229,-71.0419853,2019-10-31T19:59:25-04:00,3,19
y0672,IN_TRANSIT_TO,1,42.39807887,-71.03068639,2019-10-31T19:59:52-04:00,3,19
y0892,IN_TRANSIT_TO,1,42.41016203,-71.0123399,2019-10-31T19:59:55-04:00,3,19
y0782,IN_TRANSIT_TO,0,42.41659956,-71.0041353,2019-10-31T19:59:19-04:00,3,19
y0749,IN_TRANSIT_TO,0,42.38833077,-71.03842616,2019-10-31T19:59:47-04:00,3,19
y0612,IN_TRANSIT_TO,1,42.391111,-71.037087,2019-10-31T19:59:13-04:00,3,19
y0878,IN_TRANSIT_TO,0,42.3690435,-71.0397524,2019-10-31T19:59:11-04:00,3,19
y0870,IN_TRANSIT_TO,0,42.4033683,-71.0034745,2019-10-31T19:59:43-04:00,3,19
y1402,IN_TRANSIT_TO,0,42.42805,-71.07398,2019-10-31T19:59:41-04:00,3,19
y0516,IN_TRANSIT_TO,0,42.51868145,-71.09294336,2019-10-31T19:59:41-04:00,3,19
y0510,IN_TRANSIT_TO,1,42.4379554,-71.0698854,2019-10-31T19:59:30-04:00,3,19
y0778,IN_TRANSIT_TO,1,42.2505243,-70.9990942,2019-10-31T19:59:21-04:00,3,19
y0785,IN_TRANSIT_TO,0,42.2066592,-71.0006859,2019-10-31T19:59:47-04:00,3,19
y0796,IN_TRANSIT_TO,0,42.2677715,-71.0934638,2019-10-31T19:59:46-04:00,3,19
