,Unnamed: 0,objectid,mapc_id,muni_id,muni,parloc_id,poly_typ,map_num,mappar_id,loc_id_cnt,land_value,bldg_value,othr_value,total_value,ls_price,ls_date,bldg_area,res_area,luc_1,luc_2,luc_adj_1,luc_adj_2,num_units,units_est,units_src,num_rooms,yr_built,site_addr,addr_str,addr_num,addr_zip,owner_name,owner_addr,owner_city,owner_stat,owner_zip,fy,lot_areaft,far,pct_imperv,pct_bldg,pct_pave,landv_pac,bldgv_psf,totv_pac,bldlnd_rat,sqm_imperv,sqm_bldg,sqm_pave,realesttyp,temp,shape
1,12648,1037600,1838458,38,Boxford,M_240411_939010,FEE,15,15-2-8.2,1,262100,0,0,262100,0,19660602,0,0,9200,9200,920,920,0,1,loc_idcn,0,0,BALDPATE RD,BALDPATE RD,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2115,2013,107203.3471,0,0,0,0,106499.2494,-0.9999,106499.2494,0,-0.9999,-0.9999,0,12,,600000000B000000080010006A69000088010A0101000000A592ECD6B31599FBB5FCA711E29877E4D214989B12C0E8588E8202D8F30880AE02E08D088C9C08D2EF1598EF04D4A203929709EA9406AED5139E90299EC357F0C603C6EF20BE9778
2,12913,1037859,1838718,38,Boxford,M_241128_933069,FEE,36,1936/1/4,1,75700,0,0,75700,0,19330331,0,0,9200,9200,920,920,0,1,loc_idcn,0,0,MIDDLETON RD,MIDDLETON RD,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2114,2013,367781.6139,0,0,0,0,8965.896814,-0.9999,8965.896814,0,-0.9999,-0.9999,0,12,,AC00000017000000080010006A69000094020A0101000000B1EEF2DEB31591F1ECC2A711E899079ACE09D08E09888E0BD49D1594CB17F8FE08BE9209C6DD1198ED0FEEFE09BAF707FCCE1380AF0ED4CC1B96BF10CAC909A48B06ECB50CB4DB08D0FB10A2D80CCAD00D9AA80BE4BB26A8E41DCEC10386BE02F2B1A301C6B1BE01A0FFA901CEFA3C9AAD6AA496409CBC9401E6F547E6D514908028FAE30186B903C0EC0CBCA815FA8F0AA68E0F
3,12923,1037867,1838726,38,Boxford,M_241410_932643,FEE,37,1937/1/1,1,2904300,0,0,2904300,0,19880913,0,0,9210,9210,921,921,0,1,loc_idcn,0,0,MIDDLETON RD,MIDDLETON RD,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2202,2013,2254890.533,0,0.64984689,0,0,56105.29919,-0.9999,56105.29919,0,1361.338878,-0.9999,0,12,,FF01000053000000080010006A690000A7070A01010000009DBDB5E2B315A59B84BDA711EAC8048AA10BCEA605B8800FC4D404B4CA0FF4D502BEDF0ADA049A10DE018E07F6A4019E9705C4CB03A6FE11CC4194A903FED30C849752E05494D804C6BA01BEBD09DEDE01B8980DCC49BE8704DA1F889202EE8901A09508E8FA039EE023F0B702BCB70FDA8C038CC20BD8C00494C40DCAB506A2D810CA830890FB12F83B86D601D89305B2800AD4AB05AAB109D88F06A6CF09CCF006A2E309E0EF1690B019D8E4079AA108C4B709AC8509D6EC0B8CD50AECDA0AACDD08FCA02EAAF827D2E16292A648E2EE1394DF10D8E10F9EA30FD4970A9CAC0BE8CD0C94A10FDA86088E9A0BC29C0ABEB40FCCDA0888D20EECE2099ED311D2FC0898AE11DCBC9401A6F547DAAD6AE49640B2BE1FDAB42CE2E475E89073B8CA7CE4C677AC9D7FD0499E9001E0C5850382B820EEC4028224F2AF15B688880280F911A4FB1CAE8D0196C10ABC1EBCAB0FD2E60590C80CDEBA0882A50DC0DC0BB65BE482028AA606CE9E0898C40EDAFA10B6B222E4A017848B2CFAE824BAE824E8941A84CD2BD09A09B4E515B65588A813A4C406F8D604AEB204F29003BEE802F6D501A2D801D215BE13F8F10BA0860CCA8C04AC9204EE81079A8008581CD4CE09BEFB0AD28612B28517F6D308B0A40CDA8808A8B90BD69C0D9AA915F4EE0AB8BB14DEC404A6F309
8,13252,1038354,1839213,38,Boxford,M_243569_936949,FEE,26,26-3-13.3,1,254600,0,0,254600,172000,19940705,0,0,9210,9210,921,921,0,1,loc_idcn,0,0,ROWLEY RD,ROWLEY RD,,1921,COMMONWEALTH OF MA,"251 CAUSEWAY ST, SUITE 600",BOSTON,MA,2114,2013,124032.7996,0,0,0,0,89414.86475,-0.9999,89414.86475,0,-0.9999,-0.9999,0,12,,610000000B000000080010006A69000089010A0101000000BD9DABF5B315BBA8CEE7A711E0AE1288D622D4AF07B08215F0A938809E6DC4AA01BAE902DEE72CD8AA0CF0B81DC8CD08E0F60ED0D9049AAC01EAA902969556D6B7A801A68655BED01C
9,13337,1038281,1839140,38,Boxford,M_243642_936972,FEE,26,26-3-13.4,1,257000,0,0,257000,172000,19940705,0,0,9210,9210,921,921,0,1,loc_idcn,0,0,ROWLEY RD,ROWLEY RD,,1921,COMMONWEALTH OF MA,"251 CAUSEWAY ST, SUITE 600",BOSTON,MA,2114,2013,126974.9418,0,0,0,0,88166.37237,-0.9999,88166.37237,0,-0.9999,-0.9999,0,12,,7F00000010000000080010006A690000A7010A010100000085F786F6B315BFECEDE7A711DEFA5B8EC1AB01C8A405968807CED606C2B406FEFF12F8B210E2A507C6C005CAF704E8FB02F88705DE9902E4BA05ECE701ECC417E2B905CAF205E2CF0184AA01FAE902B0A938C09E6D94AF07F08215A0AE12C8D62288D95B84C41F
12,13411,1038355,1839214,38,Boxford,M_243392_936879,FEE,26,26-3-13.2,1,773900,0,0,773900,172000,19940705,0,0,9110,9110,911,911,0,1,loc_idcn,0,0,ROWLEY RD,ROWLEY RD,,1921,COMMONWEALTH OF MA,"251 CAUEWAY ST, SUITE 600",BOSTON,MA,2114,2013,519054.7967,0,0,0,0,64947.06188,-0.9999,64947.06188,0,-0.9999,-0.9999,0,12,,BA0000001A000000080010006A690000A2020A01010000009797D6F4B315BDD7B1E7A711D6955696B7A801DAAC01AAA902DCAB1BD4CD08E8A636E8AF11C8D30FFEEC05F0A511E4C807C8E013C6ED09C0C92FF2AA1AEC9F8A01E28C4FCE8F04E0D302C6D503C8A003FC8F03FEE203D8C102DC9A04D2EB01D0C504E68F01DAE204E430CCF10486D00EF0C042BA9B09CE842780BD02ECF10992E303B058B0FDA901B8A0209E0FA89A0182E771AAE63B98AB3EDEC003AA8A30BEFB24
15,14089,1039023,1839887,38,Boxford,M_243966_936942,FEE,26,2026/3/13,1,4076600,0,0,4076600,1079000,19940705,0,0,9110,9110,911,911,0,1,loc_idcn,0,0,ROWLEY RD,ROWLEY RD,,1921,COMMONWEALTH OF MA,"251 CAUSEWAY ST, SUITE 600",BOSTON,MA,2114,2013,6980098.728,0,0.00417974,0,0,25440.42755,-0.9999,25440.42755,0,27.10447634,-0.9999,0,12,,7102000064000000080010006A69000099090A0101000000A5A6DAFBB315B9AA91E6A71180DB800190896C9E8B1FBAFB74DAB50FBAD2A401C6F130A0AFDA01F2E90FBCD617FACF03B28D04D8DF03B49F07C0E91AB88227DEC5319C845FDEC30780A033D20E9C09FEA8BA0180A87BC8E16EBE62CC8A26F49E1DCCFD1AF4A613CA821CE4D616FAA41AE08E16D2F215F4E813EE9A10FEC010E8D605F6E306DEB405D4A707F8B606C0ED09DA8A07DA870CF4E407F4E30FF8BB05CA8D0DCAF604E29D0DC09E04D8E90CF0FB02CED70AE039ECE404AE33E6EE06B6C104EAA01DBE9601E2980DCC04E0FC05D641ECC405D672DCCD04C2DC01F8D505FEBA03E0AA09C8DD04D8F20AE8D205EEC50BEAAB06FCDF0BF8E006D0B70BD0EB06F4C40AD8D106E29809DAF204C0ED05C6DD02CAFC01DCA403C4DA01DCFE4BD4FF1DC4D032EAB416D6B30FDCE007CCE20EF6F908EA8F0AD49607ECDA08FCB907F6B60AD48D0BFED20EDCC90EC4E436EACB34D60DF40C88A405D688079EFA5BCEC1AB01C8D95BC4C41FE68655FED01CEA8A30FEFB24D8AB3E9EC003C2E771EAE63BDE0FE89A0196F20DD89D1600CCD40298F20DC0B817B63DF28D04B6EE03EAE302B2E320D8EF2DE0C5C101C0856D90D704DE9D1380E502F8E50DA69F02D0820F80CB07C0B841BED001E8960C869A74F0F50596A47DB8E59B01A8C537CAAA3898973AA8C7668AC942E6F52BA6E49501EAC79801B8F80CE6C45B8CA2DC01C08D1796B40CC235908B07A8FE03ACA00B86AE0BACE0468A894090A84480F747F4E42AAAD0388EF90EA6ED0E90A62BA89D1D9AFB1BB4AA1BAA9B1C9ACF2C94942186F81484E308B2E1089E92179EFD1CB0CC28BE862B9E9E52ECB728
16,14097,1039031,1839895,38,Boxford,M_243058_937918,FEE,21,2021/1/1,1,156400,0,0,156400,0,19321214,0,0,9100,9100,910,910,0,1,loc_idcn,0,0,ROWLEY-GEORGETOWN LINE,ROWLEY-GEORGETOWN LINE,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2202,2013,1060089.306,0,0,0,0,6426.613272,-0.9999,6426.613272,0,-0.9999,-0.9999,0,12,,EC00000022000000080010006A69000094030A0101000000B39FF5F1B315A1B083F3A711FED50FA6AF0AC8CBBE02BCECD201E00C9208DAB04FA0C434F0AB298EAE1BE227A011E6E002D6B401F68605E0AC0AD0AF03C2CE03D0E305EC8D0ADEC405C8840CC49C07FCBC0DC4E804EAA505E8F102EEA70BE2FA0DE69615E4C811FC9522FAE604E6CD16FAA80CF8D912948315CADB02B88D59F28F9601B88A52CCF78101A28A48C0ED8D018AD307FA860FBA8007CAE70CD28306F0A60F8E9C0BC29F0CB4DB448A9790019ABD6C9CB37BA0FA18B0B006A8E01DDED70990C50194E3048CD907AEED17BE9110828432
18,14210,1039144,1840009,38,Boxford,M_240464_931546,FEE,36,1936/1/2,1,1488900,0,0,1488900,0,,0,0,9100,9100,910,910,0,1,loc_idcn,0,0,MIDDLETON RD,MIDDLETON RD,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2114,2013,38057889.08,0,0.18308342,0,0,1704.153477,-0.9999,1704.153477,0,6473.26593,-0.9999,0,12,,63040000B1000000080010006A6900008B110A01010000008390C9D0B315BBA3FCC8A711DEEB2198DF1EBAF02698AE4AC4D299019EF945D69A54B0EF0AF0D825B2D22AFC8120BA987CD2F314A4A21CDC804FB0E670FEDA21D6E257B6B357ECDD63A6C50CCEAFA601D6B416D4F91080C215CACB11829D17CAFE12BAF601C0BA05BC11F0B005CCDD04DEC70AE8C705C6B20DEAB41BE4DE27D23DCAE70BECF126F0FE27F8900FCEED0AFE822096F407B8DE2EC0F046D2F16BCE8C1AE4AD8201CEB722FC819701E4FE27C68D21DAD908E2CAD901FAEA3AFC9112B8B964E8B179DCAD35DA936CEEC42F86859704EED7C109A6E370C2AA51909AD107DED9C0058E8002F0B801BEB9A402C2F3D201A6DFAD01F4A57D9CC62BAC882382DC810184BA6886DFA101AE908C01AEBE7DACD171B48209BEBA02BAE004C02A9EB71CE88D13AEF80DF6DA07ACF210F0910C98C11EECB310ACF919E4D00AA0D6D701D2BE6080D38C02E4B17AD25A90AF02DE0FDE0FD6CE19A4A930BA9B3E8EFC48AE7B8A8B0198DA4C9AF45EFEB556BAB237DAAB0A96D006C28B66E6FC7ED2B502969602FEEB538E869601D82E8ABC04D0CE079E9C0FD4A311929822D06CBEE701F2C51B8EEF39BCE701BEE70188D509A2CC0BBEE106AEF505A2A1039EC0038E850682C306B28709B2B80C9EA77590CF97018AB22EBCEA3A98BB0F9EC7179EB1C2019CBD41EAE302BA8007A2AF0382B310948A0D8E9E08C2BA01A8F8BC01F6888802C0F911C224B2AF15C2B820AEC402DE9001A0C58503EC9D7F9049F8CA7CA4C677D48794019CF5539CF441FEC9A501F0B22EE88536C68ACE01B4EF6ABEF5FA01A6A9F901B2B1A30186B1BE01EE8F1DA4CF14DAF9118CBF09ECFC14A0AD06D48E1598BE08F2F00BAC8606E2F20D94B108FACB13888C10E898198C9017C2A12598C71BD2AB09888306D2B80AB08A06CAF92E9AB618C4990A8CDB05EEBF05A0E703E6A9039ADF02F0E410FA9B1CDC9E30AEFC25AE8C18A2DC1BE4FA1792CC18E2E91094D40FD2DF0890FB06FCEA06A4E804C4DF06A4DF03D4E41392DC09FEAD069CB802EABE12AED105DCB90A92C404EC910882FA04FEED06A2AE05FCB2049CC204FEA40586FD06EAFC04908708CEBB0A92B315F8D10484850DE2C30396810ED8E703B8DC17E6E60C928C5AE6E70A84EC3CF4DF13A6A66BF8A0059AB123CEEF0698A82AE6EA20DCF611D6EF4BD2FA28F6990CCECE07EC9B1AE2CC0BEAD92CF29418EAE040D0B722EE854EC0BF2BF49C45F89A25D0F64DD2FA28E8C842FCB223FE8239DCA91EE2A103D69602E0EC248CE111FCFB2490F314E096149CA20AEE82159AD908E4C015B69F07D0ABA301929F36F2CC2FA2ED3DD6B020A4AF2BCCC431C0C526D2E605FACF03CCC318A8D813B2D5CF01E0DCB30D94F21EBECF60BCEE5388D78F02ACE6D20184A3D8010090B83B969F5B8E8F448E8C1AFEAD41A89E32FAC158C6DAA301DE9DA401F2E78701DEAFD902C4FE25DEC45ECCD29B01AAEF2DB2EF8704B4D7FC03AE9006BC8D34B4A96DA2AC10E8920BFCB887018AF302D8EC12EC8879D0F520A8ED0D86E076
19,14316,1039249,1840114,38,Boxford,M_244602_936838,FEE,26,2026/3/14,1,195800,0,0,195800,0,19351228,0,0,9100,9100,910,910,0,1,loc_idcn,0,0,ROWLEY RD,ROWLEY RD,,1921,COMMONWEALTH OF MA,100 CAMBRIDGE ST,BOSTON,MA,2114,2013,4673729.849,0,0,0,0,1824.891099,-0.9999,1824.891099,0,-0.9999,-0.9999,0,12,,AF00000017000000080010006A69000097020A0101000000ADE59484B415B9D1F9E6A711CA8AC6089A8CD4059EC307C0A0339EC531DC845F80E91AF8822798DF03F49F07BACF03F28D04B2E90FFCD61786F130E0AFDA019AB50FFAD2A401DE8B1FFAFB74C0DB8001D0896CF0DCF401E4ABEB0198D221EAE11A86F229FEE31CB4DD12DADB0390B118A4C309A48E0FE0810E96B723CC8729B8FE72E8DC35BEDC1FE8DE0E9603AC0190A3F30792F28004
