owner_name
WATER RESOURCES COMMISSION
VET`S MEMORIAL SKATING RINK
UNIVERSITY OF MASS FOUNDTION INC
UNIVERSITY OF MASS BUILDING AUTHORITY
UNIVERISTY OF MASS BUILDING AUTHORITY
UMASS BUILDING AUTHORITY
TRIAL COURT OF MASSACHUSETTS
THE COMMONWEALTH OF MASSACHUSETTS
THE COMMONWEALTH OF MASSACHSETTES
THE COMMONWEALTH OF MASS
SEWER DEPT TREATMENT PLANT
Mass Bay Transportation Authority
MDC/WATER DIVISION
MDC AQUEDUCT
MDC
MCI & SECC/DEPT OF CORRECTIONS
MBTA PLAN 94-690
MBTA PLAN 94-687
MBTA C/O REAL ESTATE ACQ.
MBTA C/O REAL ESTATE
MBTA - MASSACHUSETTS BAY
MBTA  C/O REAL ESTATE ACQUISIT
MBTA
MASSPORT AUTHORITY
MASSASOIT COMM COLLEGE FNDN INC
MASSASOIT COMM COLLEG FNDN INC
"MASSACHUSETTS, COMMONWEALTH OF FORMER:MDC NOW- DCR"
"MASSACHUSETTS, COMMONWEALTH OF FORMER MDC; NOW DCR"
"MASSACHUSETTS, COMMONWEALTH OF DCR- FORMER MDC"
"MASSACHUSETTS, COMMONWEALTH OF DCR"
"MASSACHUSETTS, COMMONWEALTH OF"
"MASSACHUSETTS, COMM. OF MDC"
"MASSACHUSETTS, COMM. OF"
"MASSACHUSETTS, COMM OF"
MASSACHUSETTS WATER
MASSACHUSETTS TURNPIKE AUTHY
MASSACHUSETTS TURNPIKE AUTHORITY
MASSACHUSETTS TURNPIKE
MASSACHUSETTS PORT AUTHORITY
MASSACHUSETTS HEALTH AND  EDUCATIONAL FACILITES
MASSACHUSETTS FISH & WILDLIFE
MASSACHUSETTS DNR
MASSACHUSETTS DEPT OF TRANSPOR
MASSACHUSETTS COMMONWEALTH OF STATE FOREST
MASSACHUSETTS COMMONWEALTH OF
MASSACHUSETTS COMMONWEALTH
MASSACHUSETTS COMMON
MASSACHUSETTS COMMOMWEALTH OF
MASSACHUSETTS COMM.WEALTH
MASSACHUSETTS COMM OF METRO DIST COMM
MASSACHUSETTS COMM OF
MASSACHUSETTS COMM
MASSACHUSETTS BAY TRANSPORTATION AUTHORI
MASSACHUSETTS BAY TRANSPORTATION
MASSACHUSETTS BAY TRANSPORTATI
MASSACHUSETTS BAY TRANSPORT
MASSACHUSETTS BAY TRANS AUTHORITY
MASSACHUSETTS BAY TRANS AUTHOR
MASSACHUSETTS BAY TRANS AUTH
MASSACHUSETTS BAY TRANS
MASSACHUSETTS BAY
MASSACHUSETTS  BAY
MASSACHUSETTS
MASS. HIGHWAY
"MASS, COMMONWEALTH OF"
MASS WATER RESOURCES AUTHORITY
MASS WATER RESOURCES AUTH
MASS TURNPIKE AUTHORITY
MASS TURNPIKE
MASS STATE COLLEGE BLDG AUTHORITY
MASS HIGHWAY DEPT
MASS DEPT OF TRANSPORTATION
MASS DEPT OF PUBLIC WORKS
MASS DEPT OF HIGHWAYS
MASS DEPT OF FISHERIES
MASS DEPARTMENT OF TRANSPORTATION
MASS COMMONWEALTH OF DEPT
MASS COMMONWEALTH OF
MASS COMM OF TRUSTEES
MASS COMM OF
MASS BAY TRANSPORTION AUTHORITY
MASS BAY TRANSPORTATION AUTHORITY
MASS BAY TRANSPORTATION AUTHOR
MASS BAY TRANSPORTATION AUTH.
MASS BAY TRANSPORTATION AUTH
MASS BAY TRANSPORTATION AUT
MASS BAY TRANSPORTATION
MASS BAY TRANSPORATION AUTHORITY
MASS BAY TRANSP AUTHORITY
MASS BAY TRANSIT AUTHORITY
MASS BAY TRANSIT AUTH
MASS BAY TRANS. AUTHORITY
MASS BAY TRANS AUTHORITY
MASS BAY TRANS AUTH
MASS BAY TRAN AUTHORITY
MASS ABY TRANSPORATION AUTHORITY
MASS  BAY TRANSPORTATION AUTH.
MASS  BAY TRANS AUTHORITY
MA/DCR
MA DEPT OF TRANSPORTATION
M.W.R.A.
M.D.C.
M.B.T.A.
M D C
M BAY TRANS AUTHORITY
M BAY TRAN AUTHORITY
M B T A
HEALTH & EDUCATIONAL FACILITIES AUTHORIT
HEALTH & EDUCATION FACILITIES AUTHORITY
Dept. of Consv. and Recreation
DIVISION OF FISHERIES + GAME
DIVISION OF FISHERIES & WILDLIFE
DIV OF FISHERIES & GAME
DEPT/CONSERVATION & RECREATION
DEPT. OF CONSERVATION AND RECREATION
DEPT. OF CONSERVATION & RECREATION
DEPT OR CONSERVATION & RECREATION
DEPT OF PUBLIC WORKS
DEPT OF ENVIRONMENTAL MGMT
DEPT OF ENVIRONMENTAL MANAGEMENT
