Region,Distinct
allston,"['morning' 'told' 'dropping' 'knees' 'prayer' 'cashier' 'begged' '911'
 'meng' 'jury' 'shut' 'just' 'said' '911' 'meng' 'later' 'told' 'police'
 'finally' 'door' 'equipped' 'mobil' 'said' 'tamerlan' 'shouting'
 'expletive' 'surveillance' 'video' 'inside' 'seen']"
back_bay,"['morning' 'sunday' 'said' 'wrote' 'ask' 'letter' 'verify' 'wanted'
 'house' 'grow' 'dispensary' 'proposed' 'neutrality' 'support' 'town'
 'letters' 'authenticity' 'confirm' 'days' 'past' 'health' 'public'
 'department' 'calls' 'taken' 've' 'night' 'richard' 'white' 'town']"
beacon_hill,"['families' 'important' 'hill' 'institute' 'said' 'salaries' 'boston'
 '2024' 'staffers' 'public' 'transparency' 'include' 'tuerck' 'disclosure'
 'salaries' 'working' 'behalf' 'organization' 'sponsoring' 'bringing'
 'olympics' 'tuerck' 'beacon' 'david' 'particularly' 'organizing'
 'registered' 'organization' 'comply' 'statutory']"
brighton,"['morning' 'good' 'tamerlan' 'praised' 'told' 'good' 'job' 'boy' 'job'
 'complied' 'parked' 'pump' 'shell' 'gas' 'station' 'memorial' 'said'
 'said' 'eliminate' 'answer' 'meng' 'roommate' 'trying' 'reach'
 'cellphone' 'said' 'phone' 'meng' 'say' 'single']"
charles_town,"['melrose' 'distressing' 'courthouses' 'efficient' 'modern' 'examples'
 'good' 'report' 'news' 'alarming' 'committee' 'bonding' 'house' 'told'
 'spence' 'month' 'constructed' 'renovated' 'repaired' 'courts' 'decide'
 'baker' 'charlie' 'gov' 'consolidations' 'massachusetts' 'majority'
 'said' 'courthouses' 'association']"
chinatown,"['wearing' '100000' 'dorchester' 'cases' 'assault' 'open' 'citing' 'bail'
 'cash' 'held' 'new' 'downing' 'recommended' 'galatis' 'act' 'intentional'
 'accident' 'joun' 'district' 'court' 'joun' 'revoked' 'attack'
 'intersection' 'standing' 'hearing' 'pretrial' 'u2028aug' 'pending'
 'cash']"
dorchester,"['nice' 'stadium' 'elephant' 'room' 'favor' 'saying' 'going' 'build'
 'hard' 'don' 'believe' 'think' 'neighborhoods' 'south' 'end' 'roxbury'
 'boston' 'south' 'square' 'andrew' 'stadium' 'olympic' 'potential'
 'called' 'lynch' 'place' 'people' 'smart' 'structure' 'know']"
downtown,"['calls' 'yesterday' 'police' 'told' 'woman' 'said' 'police' 'transit'
 'morning' 'said' 'walked' 'police' 'court' 'municipal' 'boston' 'today'
 'arraigned' 'expected' 'assaulted' 'orange' 'expletive' 'police' 'ready'
 'ready' 'said' 'arrested' 'told' 'estrada' 'approached' 'away']"
east_boston,"['plans' 'laughed' 'answer' 'charged' 'open' 'door' 'bus' 'overwhelmed'
 'got' 'stomped' 'head' 'don' 'remember' 'man' 'said' 'revere' 'man'
 'refused' 'smith' 'feet' 'said' 'throw' 'snowball' 'driver' 'alleged'
 'victim' 'said' 'doesn' 'recall' 'throwing']"
fenway,"['10' 'upgraded' 'red' 'minds' 'forefront' 'ones' 'loved' 'tonya'
 'hospital' 'released' 'statement' 'monday' 'said' 'family' 'condition'
 'fair' 'condition' 'said' 'injuries' 'described' 'police' 'center'
 'medical' 'deaconess' 'israel' 'beth' 'rushed' 'stands' 'treated' 'win']"
herald,"['westin' 'wait' 'think' 'people' 'lot' 'surprising' 'future' 'distant'
 'won' 'adding' 'said' 'trump' 'longer' 'little' 'just' 'll' 'said'
 'office' 'oval' 'run' 'make' 'revealing' 'planned' 'time' 'specific'
 'chabot' 'hillary' 'cashman' 'jaclyn' 'hosts']"
hyde_park,"['gallery' 'including' 'birthday' '23rd' 'amy' 'gave' 'husband' 'necklace'
 'jewelry' 'wing' 'daughter' 'pieces' 'identify' 'asked' 'lord' 'gone'
 'angel' 'necklace' 'know' '10' 'sneakers' 'sweats' 'dressed'
 'u2028alemany' 'away' 'feet' 'sat' 'said' 'mother' 'distraught']"
jamaica_plain,"['meth' 'gang' '16' 'sentenced' 'ransom' '100000' 'demanded' 'street'
 'boston' 'man' 'kidnapped' 'man' 'prison' 'second' 'boston' 'litigation'
 'ongoing' 'comment' 'city' 'said' 'walsh' 'martin' 'years' 'julio'
 'spokeswoman' 'conspiracy' 'boston' 'victim' 'kidnapped' 'people']"
kenmore,"['gallery' 'fenway' 'milton' 'said' 'park' 'people' 'regular' 'prices'
 'places' 'reasonable' 'don' 'park' 'hard' 'issue' 'real' 'address' 'idea'
 'bad' 'proposal' 'zakim' 'called' 'bouncer' 'local' '29' 'work' 'park'
 'just' 'life' 'limped' 'mbta']"
mattapan,"['contributors' 'restructuring' 'reduction' 'directors' 'area' 'agency'
 'half' 'cut' 'additionally' 'percent' 'workforce' 'statewide' 'percent'
 'workers' 'social' '124' 'management' 'created' 'additional' 'demands'
 'pressure' 'managerial' 'staff' 'supervisors' 'social' 'workers' 'look'
 'help' 'report' 'reads']"
