,pos,neu,neg
0,13497,215,4864
1,19019,721,7260
2,24070,1066,10426
3,26686,1039,14151
4,47556,1819,20011
5,2924,145,1780
6,2261,185,1361
7,4109,231,2216
8,4822,243,2140
9,4680,377,1925
10,1176,101,227
