,pos,neu,neg
0,1330,10,732
1,1868,12,1245
2,2569,19,1600
3,3105,19,2108
4,4998,41,3252
5,267,2,162
6,222,3,174
7,460,5,231
8,465,6,151
9,505,5,146
10,114,14,20
