,school name,school hour,street,area
58,Higginson-Lewis,9:30 a.m. - 4:10 p.m.,131 Walnut Ave.,"Roxbury, MA 02119"
59,"Holmes, Oliver Wendell Innovation","9:30 a.m. - 4:10 p.m., W, T, W, F 9:30 a.m. - 12:30 p.m. Thurs",40 School St.,"Dorchester, MA 02124"
60,Horace Mann School for the Deaf and Hard of Hearing,7:20 a.m. - 2:10 p.m.,40 Armington St.,"Allston, MA 02134"
61,"Hurley, Joseph K-8",8:30 a.m. - 3:10 p.m.,70 Worcester St.,"Boston, MA 02118"
62,"Irving, Washington Middle",7:15 a.m. - 2:05 p.m.,105 Cummins Highway,"Roslindale, MA 02131"
63,Jackson/Mann K-8,7:15 a.m. - 1:55 p.m.,40 Armington St.,"Allston, MA 02134"
64,"Kennedy, Edward M. Academy for Health Careers",7:30 a.m. - 2:30 p.m. Mon.-Thurs.; 7:30 a.m. - 1:30 p.m. Friday,110 The Fenway,"Boston, MA 02115"
65,"Kennedy, Edward M. Academy for Health Careers",8:00 a.m. - 3:00 p.m. Mon.-Thurs.; 8:00 a.m. - 1:30 p.m. Friday,10 Fenwood Rd.,"Boston, MA 02115"
66,"Kennedy, John F. Elementary",8:30 a.m. - 3:10 p.m.,7 Bolster St.,"Jamaica Plain, MA 02130"
67,"Kennedy, Patrick Elementary",8:30 a.m. - 3:10 p.m.,343 Saratoga St.,"East Boston, MA 02128"
68,"Kenny, Thomas J. Elementary",9:30 a.m. - 4:10 p.m.,19 Oakton Ave.,"Dorchester, MA 02122"
69,"Kilmer, Joyce K-8",9:30 a.m. - 4:10 p.m.,Lower School (K1-grade 3): 35 Baker St.Upper School (grades 4-8): 140 Russett Rd.,"West Roxbury, MA 02132"
70,"King, Martin Luther, Jr. K-8",8:30am - 3pm,77 Lawrence Ave.,"Dorchester, MA 02121"
71,Lee Academy Pilot School,9:30 a.m. - 3:30 p.m.,25 Dunbar Ave.,"Dorchester, MA 02124"
72,"Lee, Joseph K-8",7:30 a.m. - 2:10 p.m.,155 Talbot Ave.,"Dorchester, MA 02124"
73,"Lyndon, Patrick K-8",9:30 a.m. - 3:30 p.m.,20 Mt. Vernon St.,"West Roxbury, MA 02132"
74,"Lyon, Mary K-8",9:30 a.m. - 4:10 p.m.,K-grade 6: 50 Beechcroft St.Grades 7-8: 95 Beechcroft St.,"Brighton, MA 02135"
75,"Lyon, Mary High School",8:30 a.m. - 3:30 p.m.,95 Beechcroft St.,"Brighton, MA 02135"
76,Madison Park Technical Vocational High School,7:30 a.m. - 2:35 p.m.,75 Malcolm X Blvd.,"Roxbury, MA 02120"
77,"Manning, Joseph P. Elementary",9:30 a.m. - 4:10 p.m.,130 Louders Lane,"Jamaica Plain, MA 02130"
78,"Mason, Samuel Elementary",8:20 a.m. - 2:20 p.m.,150 Norfolk Ave.,"Roxbury, MA 02119"
79,Mather Elementary,9:30 a.m. - 4:10 p.m.,24 Parish St.,"Dorchester, MA 02122"
80,Mattahunt Elementary School,7:30 a.m. - 4:00 p.m.,100 Hebron Street,"Mattapan, MA 02126"
81,"McCormack, John W. Middle",7:30 a.m. - 2:20 p.m.,315 Mt. Vernon St.,"Dorchester, MA 02125"
82,"McKay, Donald K-8",8:30 a.m. - 3:10 p.m.,122 Cottage St.,"East Boston, MA 02128"
83,"McKinley, Willam South End Academy",7:20 a.m. - 1:40 p.m.,90 Warren Ave.,"Boston, MA 02116"
84,"McKinley, William Elementary",9:30 a.m. - 3:30 p.m.,90 Warren Ave.,"Boston, MA 02116"
85,"McKinley, William Middle",9:30 a.m. - 3:40 p.m.,50 St. Mary St.,"Boston, MA 02215"
86,"McKinley, William Preparatory High School",7:20 a.m. - 1:40 p.m.,97 Peterborough St.,"Boston, MA 02215"
87,"Mendell, Ellis Elementary",9:30 a.m. - 4:10 p.m.,164 School St.,"Roxbury, MA 02119"
88,Mildred Avenue K-8,7:30 a.m. - 2:00 p.m.,5 Mildred Ave.,"Mattapan, MA 02126"
89,Mission Hill K-8,9:30 a.m. - 3:30 p.m.,20 Child St.,"Jamaica Plain, MA 02130"
90,"Mozart, Wolfgang A. Elementary",9:30 a.m. - 4:10 p.m.,236 Beech St,"Roslindale, MA 02131"
91,"Muniz, Margarita Academy",8:30 a.m. - 3:30 p.m. Mon.-Thurs.; 8:30 a.m. - 12:30 p.m. Fri.,20 Child St.,"Jamaica Plain, MA 02130"
92,"Murphy, Richard J. K-8",8:30 a.m. - 3:10 p.m.,1 Worrell St.,"Dorchester, MA 02122"
93,New Mission High School,7:45 a.m. - 2:30 p.m.,655 Metropolitan Ave.,"Hyde Park, MA 02136"
94,"O'Bryant, John D. School of Mathematics & Science",7:20 a.m. - 1:45 p.m.,55 Malcolm X Blvd.,"Roxbury, MA 02120"
95,"O'Donnell, Hugh R. Elementary",9:30 a.m. - 4:10 p.m.,33 Trenton St.,"East Boston, MA 02128"
96,"Ohrenberger, William School",8:30 a.m. - 3:10 p.m.,175 West Boundary Rd.,"West Roxbury, MA 02132"
97,Orchard Gardens K-8,7:25 am - 2:25 pm,906 Albany St.,"Roxbury, MA 02119"
98,"Otis, James Elementary",8:20 a.m. - 3:00 p.m.,218 Marion St.,"East Boston, MA 02128"
99,"Perkins, Michael J. Elementary",8:30 a.m. - 3:10 p.m.,50 Rev. Burke St.,"South Boston, MA 02127"
100,"Perry, Oliver Hazard K-8",9:30 a.m. - 4:10 p.m.,745 E. Seventh St.,"South Boston, MA 02127"
101,"Philbrick, John D. Elementary",9:30 a.m. - 4:10 p.m.,40 Philbrick St.,"Roslindale, MA 02131"
102,"Quincy, Josiah Elementary",9:30 a.m. - 4:10 p.m.,885 Washington St.,"Boston, MA 02111"
103,"Quincy, Josiah Upper School",6-7 8:40 a.m. - 3:40 p.m. M-T-Th-F; 8:40 a.m. - 12:30 p.m. Wed. 8-12 7:50 a.m. - 2:50 p.m. M-T-Th-F; 7:50 - 11:30 a.m. Wed.,152 Arlington St.,"Boston, MA 02116"
104,"Roosevelt, Franklin D. K-8",8:30 a.m. - 3:10 p.m.,95 Needha.m. Rd.,"Hyde Park, MA 02136"
105,"Russell, William E. Elementary",8:30 a.m. - 3:10 p.m.,750 Columbia Rd.,"Dorchester, MA 02125"
106,"Shaw, Pauline A. Elementary",9:30 a.m. - 4:10 p.m.,429 Norfolk St.,"Dorchester, MA 02124"
107,Snowden International School at Copley,7:40 a.m. - 2:15 p.m.,150 Newbury St.,"Boston, MA 02116"
108,"Sumner, Charles Elementary",9:30 a.m. - 4:10 p.m.,15 Basile St.,"Roslindale, MA 02131"
109,"Taylor, Charles H. Elementary",9:30 a.m. - 4:10 p.m.,1060 Morton St.,"Mattapan, MA 02126"
110,TechBoston Academy,7:30 a.m. - 2:30 p.m.7:30 - 11:00 a.m. Wed,9 Peacevale Rd.,"Dorchester, MA 02124"
111,"Timilty, James P. Middle",7:30 a.m. - 3:10 p.m. M-Th; 7:30 - 11:30 a.m. Friday,205 Roxbury St.,"Roxbury, MA 02119"
112,"Tobin, Maurice K-8",9:30 a.m. - 4:10 p.m.,40 Smith St.,"Roxbury, MA 02120"
113,"Trotter, William Monroe K-8",7:30 a.m. - 2:00 p.m.,135 Humboldt Ave.,"Dorchester, MA 02121"
114,"Tynan, Joseph P. Elementary",8:30 a.m. - 3:10 p.m.,650 E. Fourth St.,"South Boston, MA 02127"
115,"Umana, Mario Academy",7:20 a.m. - 2:00 p.m.,312 Border St.,"East Boston, MA 02128"
116,UP Academy Boston,7:15 a.m. - 3:00 p.m. M-Th; 7:15 a.m.-1:00 p.m. Fri,215 Dorchester St.,"South Boston, MA 02127"
117,UP Academy Dorchester,7:30 a.m. - 3:30 p.m.; 7:30 a.m. - 12:30 p.m. Wednesday,35 Westville St.,"Dorchester, MA 02124"
118,UP Academy Holland,7:30 a.m. - 3:30 p.m.; 7:30 a.m. - 12:30 p.m. Wednesday,85 Olney St.,"Dorchester, MA 02121"
119,Urban Science Academy,7:20 a.m. - 1:40 p.m.,60 Hawthorne Street,"Roslindale, MA 02131"
120,Warren/Prescott K-8,8:30 a.m. - 3:10 p.m.,50 School St.,"Charlestown, MA 02129"
121,West Roxbury Academy,7:20 a.m. - 1:40 p.m.,60 Hawthorne Street,"Roslindale, MA 02131"
122,West Zone Early Learning Center,7:30 a.m. - 4:35 p.m.,200 Heath St.,"Jamaica Plain, MA 02130"
123,"Winship, F. Lyman Elementary",9:30 a.m. - 4:10 p.m.,54 Dighton St.,"Brighton, MA 02135"
124,"Winthrop, John Elementary",8:30 a.m. - 3:00 p.m.,35 Brookford St.,"Dorchester, MA 02125"
125,Young Achievers Science & Math K-8,8:30 a.m. - 4:15 p.m.,20 Outlook Rd.,"Mattapan, MA 02126"
126,"McKinley, William School",,90 Warren Ave.,"Boston, MA 02116"
