,school name,school hour,street,area
0,"Adams, Samuel Elementary",7:30 a.m. - 2:10 p.m.,165 Webster St.,"East Boston, MA 02128"
1,"Alighieri, Dante Montessori School",7:30 a.m. - 2:10 p.m.,37 Gove Street,"East Boston, MA 02128"
2,Another Course to College,8:00 a.m.-2:30 p.m.,612 Metropolitan Ave,"Hyde Park, MA 02136"
3,Baldwin Early Learning Pilot Academy,7:30 a.m.-4:30 p.m.; 7:30-11:30 a.m. Wed.,121 Corey Rd.,"Brighton, MA 02135"
4,"Bates, Phineas Elementary",9:30 a.m. - 4:10 p.m.,426 Beech St.,"Roslindale, MA 02131"
5,"Beethoven, Ludwig van Elementary",8:30 a.m. - 3:10 p.m.,5125 Washington St.,"West Roxbury, MA 02132"
6,Blackstone Elementary School,8:25 a.m. - 3:05 p.m.,380 Shawmut Ave.,"Boston, MA 02118"
7,Boston Adult Technical Academy,9:00 a.m. - 3:20 p.m.,20 Church St.,"Boston, MA 02116"
8,Boston Arts Academy,8:00 a.m.-3:55 p.m.; 8:00 a.m.-12:50 p.m. Fri.,11 Charles Street,"Dorchester, MA 02122"
9,Boston Collaborative High School,8:00 a.m. - 3:00 p.m.,215 Dorchester St.,"South Boston, MA 02127"
10,Boston Community Leadership Academy,7:55 a.m. - 2:25 p.m.,655 Metropolitan Ave.,"Hyde Park, MA 02136"
11,Boston Day & Evening Academy,"1st Shift: 9:00 a.m.-2:27 p.m. M, T, Th, 9:00 a.m. - 1:20 p.m. W, F; 2nd Shift: 10:00 a.m. - 3:30 p.m. M, T, Th, 10:00 a.m. - 2:20 p.m. W, F",20 Kearsarge Ave.,"Roxbury, MA 02119"
12,Boston Green Academy,"8:00 a.m. - 3:00 p.m. M, T, Th, F; 8:00 a.m. - Noon Wed.",20 Warren St.,"Brighton, MA 02135"
13,Boston International Newcomers Academy,"8:00 a.m. - 2:30 p.m. Mon.-Thurs., 8:00 a.m. - 1:55 Fri.",100 Maxwell St.,"Dorchester, MA 02124"
14,Boston Latin Academy,7:20 a.m. - 1:40 p.m.,205 Townsend St.,"Dorchester, MA 02121"
15,Boston Latin School,7:45 a.m. - 2:15 p.m.,78 Ave. Louis Pasteur,"Boston, MA 02115"
16,Boston Teachers Union K-8 School,8:30 a.m. - 3:00 p.m.,25 Walk Hill St.,"Jamaica Plain, MA 02130"
17,"Bradley, Manassah E. Elementary",9:30 a.m. - 4:10 p.m.,110 Beachview Rd.,"East Boston, MA 02128"
18,Brighton High School,7:30 a.m. - 2:25 p.m.,25 Warren St.,"Brighton, MA 02135"
19,"Burke, Jeremiah E. High School","7:50 a.m. - 2:35 p.m., M, T, Th, F; 7:50 a.m. - 12:35 p.m. Wed.",60 Washington St.,"Dorchester, MA 02121"
20,"Carter School, The",9:30 a.m. - 3:30 p.m.,396 Northampton St.,"Boston, MA 02118"
21,"Channing, William E. Elementary",8:30 a.m. - 3:00 p.m.,35 Sunnyside St.,"Hyde Park, MA 02136"
22,Charlestown High School,7:30 a.m. - 1:50 p.m.,240 Medford St.,"Charlestown, MA 02129"
23,"Chittick, James J. Elementary",8:30 a.m. - 3:10 p.m.,154 Ruskindale Rd.,"Hyde Park, MA 02136"
24,Clap Elementary School,9:30 a.m. - 4:10 p.m.,35 Harvest St.,"Dorchester, MA 02125"
25,Community Academy,"7:45 a.m. - 2:25 p.m. Mon., Tues., Thurs., Fri.; 7:45 a.m. - 1:25 p.m. Wed.",25 Glen Rd.,"Ja.m.aica Plain, MA 02130"
26,Community Academy of Science & Health,7:30 a.m. - 1:50 p.m.,11 Charles St.,"Dorchester, MA 02122"
27,"Condon, James F. K-8",8:30 a.m. - 3:10 p.m.,200 D St.,"South Boston, MA 02127"
28,"Conley, George H. Elementary",8:30 a.m. - 3:10 p.m.,450 Poplar St.,"Roslindale, MA 02131"
29,Curley K-8,8:30 a.m. - 3:10 p.m.,40 Pershing Rd.,"Jamaica Plain, MA 02130"
30,"Dearborn, Henry STEM Academy",7:30 a.m. - 3:00 p.m.,36 Winthrop Street,"Roxbury, MA 02119"
31,"Dever, Paul A. Elementary","7:30 a.m. - 3:30 p.m. Mon., Tues., Thurs., Fri.; 7:30 a.m. - 12:35 p.m. Wed.",325 Mt. Vernon St.,"Dorchester, MA 02125"
32,Dudley Street Neighborhood Charter School,8:15 a.m. - 4:15 p.m.,6 Shirley St.,"Roxbury, MA 02119"
33,East Boston Early Education Center,7:30 a.m. - 4:30 p.m.,135 Gove St.,"East Boston, MA 02128"
34,East Boston High School,"7:30 a.m. - 1:50 p.m. Mon. & Wed.; 7:30 a.m. - 1:30 p.m. Tues., Thurs., Fri.",86 White St.,"East Boston, MA 02128"
35,"Edison, Thomas A. K-8",8:30 a.m. - 3:10 p.m.,60 Glenmont Rd.,"Brighton, MA 02135"
36,"Edwards, Clarence R. Middle",7:15 a.m. - 2:05 p.m.,28 Walker St.,"Charlestown, MA 02129"
37,"Eliot, John K-8",8:30 a.m. - 3:10 p.m.,(K0-1) 16 Charter St. (2-4) 173 Salem St. (5-8) 585 Commercial St.,"Boston, MA 02113"
38,"Ellis, David A. Elementary",9:30 a.m. - 4:10 p.m.,302 Walnut Ave.,"Roxbury, MA 02119"
39,Ellison/Parks Early Education School,7:30 a.m. - 4:30 p.m.,108 Babson St.,"Mattapan, MA 02126"
40,English High School,7:20 a.m. - 2:20 p.m.,144 McBride St.,"Ja.m.aica Plain, MA 02130"
41,"Everett, Edward Elementary",9:30 a.m. - 4:10 p.m.,71 Pleasant St.,"Dorchester, MA 02125"
42,Excel High School,7:25 a.m. - 2:10 p.m.,95 G St.,"South Boston, MA 02127"
43,Fenway High School,"8:45 a.m. - 3:35 p.m. Mon., Wed., Thurs; 8:45 a.m. - 2:25 p.m. Tues.; 8:45 a.m. - 1:05 p.m. Fri.",67 Alleghany St.,"Roxbury, MA 02120"
44,"Frederick, Lilla G. Middle",9:30 a.m. - 3:40 p.m.,270 Columbia Rd.,"Dorchester, MA 02121"
45,Gardner Pilot Academy,8:30 a.m. - 2:30 p.m.,30 Athol St.,"Allston, MA 02134"
46,Greater Egleston High School,9:00 a.m. - 3:00 p.m.,80 School St.,"Roxbury, MA 02119"
47,"Greenwood, Sarah K-8",8:30 a.m. - 3:10 p.m.,189 Glenway St.,"Dorchester, MA 02121"
48,"Grew, Henry Elementary",8:30 a.m. - 3:00 p.m.,40 Gordon Ave.,"Hyde Park, MA 02136"
49,"Guild, Curtis Elementary",8:30 a.m. - 3:10 p.m.,195 Leyden St.,"East Boston, MA 02128"
50,"Hale, Nathan Elementary",8:30 a.m. - 3:10 p.m.,51 Cedar St.,"Roxbury, MA 02119"
51,"Haley, Dennis K-8",8:30 a.m. - 2:30 p.m.,570 a.m.erican Legion Hwy.,"Roslindale, MA 02131"
52,Harvard/Kent Elementary,9:30 a.m. - 4:10 p.m.,50 Bunker Hill St.,"Charlestown, MA 02129"
53,Haynes Early Education Center,7:30 a.m. - 4:35 p.m.,263 Blue Hill Ave.,"Roxbury, MA 02119"
54,"Henderson, Dr. William W. K-12 Inclusion School",8:30 a.m. - 2:30 p.m.,"Lower School (K0- Grade 2)1669 Dorchester Ave., Upper School (grades 3-12)18 Croftland Ave.","Dorchester, MA 02124"
55,"Hennigan, James W. K-8",9:30 a.m. - 4:10 p.m.,200 Heath St.,"Ja.m.aica Plain, MA 02130"
56,"Hernandez, Rafael K-8",8:30 a.m. - 3:10 p.m.,61 School St.,"Roxbury, MA 02119"
57,Higginson K0-2,9:30 a.m. - 4:10 p.m.,160 Harrishof St.,"Roxbury, MA 02119"
